title,link,description,pubDate
"카카오페이, 1분기 영업이익 44억원…흑자 전환 '성공'",http://www.shinailbo.co.kr/news/articleView.html?idxno=2048559,"시장을 선도하고 있는 해외<b>여행</b>보험에 이어 선보인 국내<b>여행</b>보험도 출시 1개월 만에 가입자 1만명을 돌파하며 빠른 속도로 시장에 안착하고 있으며, ‘선물하는 자녀보험’을 통해 가족 관련 카테고리의 범주를... ","Wed, 07 May 2025 16:28:00 +0900"
[울산24시] 문수야구장에 유스호스텔 건립…300여명 수용,https://n.news.naver.com/mnews/article/586/0000102810?sid=102,또 거리 공연(버스킹)·축제·예술행사·춤 경연(댄스챌린지)·야간<b>여행</b>상품 등과 연계하고 온‧오프라인 홍보를 통해 '울산교 빛쇼'를 널리 알려 나갈 방침이다. 빛쇼는 오는 9일부터 매주 금요일·토요일 오후 7시... ,"Wed, 07 May 2025 16:27:00 +0900"
"진도군, 관광두레 주민공동체 모집",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160292226271691,"이번 모집은 군에 거주하는 3인 이상의 주민공동체를 대상으로 하며, 숙박, 체험, 식음, 기념품, 주민<b>여행</b>사 등 관광 관련 사업을 준비 중이거나 이미 운영 중인 공동체가 지원할 수 있고, 선정된 공동체에는 최대... ","Wed, 07 May 2025 16:26:00 +0900"
"하나투어, 싱가포르 만다이 그룹과 업무협약",https://daily.hankooki.com/news/articleView.html?idxno=1212852,"하나투어 관계자는 &quot;이번 협약은 자연, 생태 기반의 지속가능한 친환경 <b>여행</b>을 위한 전략적 업무협약&quot;이라며 &quot;싱가포르 지역 내 차별화된 상품 개발로 고객 만족도를 높이고 글로벌 제휴를 확대해 나갈 것&quot;이라고 말했다.","Wed, 07 May 2025 16:26:00 +0900"
"마이데이터로 떠나는 관광… NICE평가정보, '<b>여행</b>어때' 서비스 오픈",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005546828,NICE평가정보가 <b>여행</b> 및 숙박 관련 데이터를 활용한 전 분야 마이데이터 선도서비스인 '마이데이터로 떠나는 <b>여행</b>어때'(이하 <b>여행</b>어때)를 정식 오픈했다고 오늘(7일) 밝혔습니다. 지난 3월 국민 누구나 본인의 정보를 원하는... ,"Wed, 07 May 2025 16:26:00 +0900"
'MZ세대 휴먼스토리'...여수시 관광지 배경 '그림자' 제작,https://daily.hankooki.com/news/articleView.html?idxno=1212829,"웹드라마 '그림자'는 1화 '시간<b>여행</b>', 2화 '기억의 섬', 3화 '데칼코마니', 4화 '어둠을 지나', 5화 '빛을 향해' 등 총 5화, 50분 내외로 제작된다. 촬영지는 율촌 벚꽃길, 율촌역(폐역), 여자만 상봉데크길, 반월마을, 선소... ","Wed, 07 May 2025 16:26:00 +0900"
"순천시, 황금연휴 4일간 36만명 방문해 대한민국 생태·가족 <b>여행</b>지로 ...",http://www.siminsori.com/news/articleView.html?idxno=289966,"단체 <b>여행</b>객들로 붐볐다. 순천만국가정원을 중심으로 순천만습지, 드라마촬영장, 낙안읍성 등 주요 관광지에는 나흘간 36만명이 넘는 방문객이 몰리며 대한민국 대표 생태·가족 <b>여행</b>지로서의 입지를 굳건히 했다. 이에... ","Wed, 07 May 2025 16:24:00 +0900"
"여수시, 10번째 웹드라마 ‘그림자’ 제작",http://www.jndn.com/article.php?aid=1746602505409071107,"웹드라마 ‘그림자’는 1화 ‘시간<b>여행</b>’, 2화 ‘기억의 섬’, 3화 ‘데칼코마니’, 4화 ‘어둠을 지나’, 5화 ‘빛을 향해’ 등 총 5화, 50분 내외로 제작된다. 촬영지는 율촌 벚꽃길, 율촌역, 여자만 상봉데크길... ","Wed, 07 May 2025 16:24:00 +0900"
"순천시, 황금연휴 4일간 36만명 찾아와…&quot;245억 경제효과&quot;",https://n.news.naver.com/mnews/article/003/0013227121?sid=102,"단체 <b>여행</b>객들로 붐볐다. 순천만국가정원을 중심으로 순천만습지, 드라마촬영장, 낙안읍성 등 주요 관광지는 나흘간 36만 명이 넘는 방문객이 몰리며 대한민국 대표 생태·가족 <b>여행</b>지로서의 입지를 다졌다. 시는 이 기간... ","Wed, 07 May 2025 16:24:00 +0900"
"신한은행, 10개국 통화 환전 가능한 'SOL트래블 라운지 을지로입구역점...",http://www.smedaily.co.kr/news/articleView.html?idxno=325504,'SOL트래블 라운지'는 그룹의 대표 <b>여행</b>자카드인 'SOL트래블카드'의 브랜드를 오프라인으로 확장한... 신한은행 관계자는 &quot;해외로 떠나는 <b>여행</b>객 및 외국인 관광객이 SOL트래블라운지로 편리한 환전 서비스를... ,"Wed, 07 May 2025 16:24:00 +0900"
