food_name,period,ratio
파운드케이크,2024-01-01,100.0
파운드케이크,2024-02-01,89.9371
파운드케이크,2024-03-01,89.7636
파운드케이크,2024-04-01,87.31294
파운드케이크,2024-05-01,82.3574
파운드케이크,2024-06-01,71.31858
파운드케이크,2024-07-01,72.00173
파운드케이크,2024-08-01,75.35241
파운드케이크,2024-09-01,71.80654
파운드케이크,2024-10-01,76.32834
파운드케이크,2024-11-01,63.67382
파운드케이크,2024-12-01,74.74517
햄샌드위치,2024-01-01,8.252
햄샌드위치,2024-02-01,7.54716
햄샌드위치,2024-03-01,8.81587
햄샌드위치,2024-04-01,9.26046
햄샌드위치,2024-05-01,8.73996
햄샌드위치,2024-06-01,9.08696
햄샌드위치,2024-07-01,8.34959
햄샌드위치,2024-08-01,7.67729
햄샌드위치,2024-09-01,7.52548
햄샌드위치,2024-10-01,8.88093
햄샌드위치,2024-11-01,7.62307
햄샌드위치,2024-12-01,7.56885
간자장,2024-01-01,0.91086
간자장,2024-02-01,1.32292
간자장,2024-03-01,0.94339
간자장,2024-04-01,0.97592
간자장,2024-05-01,1.10605
간자장,2024-06-01,0.79158
간자장,2024-07-01,1.07351
간자장,2024-08-01,0.48796
간자장,2024-09-01,0.93255
간자장,2024-10-01,1.05183
간자장,2024-11-01,0.57471
간자장,2024-12-01,0.75905
국수,2024-01-01,73.59843
국수,2024-02-01,71.96512
국수,2024-03-01,83.67938
국수,2024-04-01,85.90694
국수,2024-05-01,96.55368
국수,2024-06-01,100.0
국수,2024-07-01,91.53634
국수,2024-08-01,94.09661
국수,2024-09-01,86.42113
국수,2024-10-01,79.26518
국수,2024-11-01,65.1063
국수,2024-12-01,64.70776
라면,2024-01-01,100.0
라면,2024-02-01,89.17685
라면,2024-03-01,94.50592
라면,2024-04-01,94.40108
라면,2024-05-01,95.96583
라면,2024-06-01,89.23898
라면,2024-07-01,90.76878
라면,2024-08-01,88.01203
라면,2024-09-01,87.29955
라면,2024-10-01,94.43409
라면,2024-11-01,88.97883
라면,2024-12-01,92.02873
옥수수밥,2024-01-01,2.81887
옥수수밥,2024-02-01,2.09473
옥수수밥,2024-03-01,2.47718
옥수수밥,2024-04-01,2.25975
옥수수밥,2024-05-01,2.68491
옥수수밥,2024-06-01,5.6688
옥수수밥,2024-07-01,18.00232
옥수수밥,2024-08-01,10.93574
옥수수밥,2024-09-01,5.57755
옥수수밥,2024-10-01,3.73325
옥수수밥,2024-11-01,2.6422
옥수수밥,2024-12-01,2.16656
완두콩밥,2024-01-01,1.93821
완두콩밥,2024-02-01,1.74858
완두콩밥,2024-03-01,2.22266
완두콩밥,2024-04-01,2.72099
완두콩밥,2024-05-01,10.48047
완두콩밥,2024-06-01,15.22788
완두콩밥,2024-07-01,3.09805
완두콩밥,2024-08-01,2.00877
완두콩밥,2024-09-01,2.01539
완두콩밥,2024-10-01,1.93601
완두콩밥,2024-11-01,1.79047
완두콩밥,2024-12-01,1.66258
유부 초밥,2024-01-01,78.00048
유부 초밥,2024-02-01,65.75158
유부 초밥,2024-03-01,79.3698
유부 초밥,2024-04-01,92.75208
유부 초밥,2024-05-01,84.21424
유부 초밥,2024-06-01,76.48122
유부 초밥,2024-07-01,75.95863
유부 초밥,2024-08-01,79.59692
유부 초밥,2024-09-01,68.57621
유부 초밥,2024-10-01,80.49216
유부 초밥,2024-11-01,62.70865
유부 초밥,2024-12-01,54.57211
육회비빔밥,2024-01-01,65.06581
육회비빔밥,2024-02-01,61.96996
육회비빔밥,2024-03-01,78.0093
육회비빔밥,2024-04-01,82.76994
육회비빔밥,2024-05-01,85.37187
육회비빔밥,2024-06-01,86.30239
육회비빔밥,2024-07-01,91.85023
육회비빔밥,2024-08-01,93.12253
육회비빔밥,2024-09-01,84.09737
육회비빔밥,2024-10-01,80.41498
육회비빔밥,2024-11-01,69.14731
육회비빔밥,2024-12-01,64.32272
장어 덮밥,2024-01-01,62.08242
장어 덮밥,2024-02-01,56.74847
장어 덮밥,2024-03-01,66.17053
장어 덮밥,2024-04-01,56.87636
장어 덮밥,2024-05-01,62.39553
장어 덮밥,2024-06-01,75.62788
장어 덮밥,2024-07-01,100.0
장어 덮밥,2024-08-01,85.88785
장어 덮밥,2024-09-01,59.23573
장어 덮밥,2024-10-01,54.77277
장어 덮밥,2024-11-01,48.41348
장어 덮밥,2024-12-01,48.69352
장어 초밥,2024-01-01,1.85662
장어 초밥,2024-02-01,1.8478
장어 초밥,2024-03-01,1.9316
장어 초밥,2024-04-01,1.70889
장어 초밥,2024-05-01,1.7574
장어 초밥,2024-06-01,1.98672
장어 초밥,2024-07-01,2.21825
장어 초밥,2024-08-01,2.25794
장어 초밥,2024-09-01,1.81032
장어 초밥,2024-10-01,1.87867
장어 초밥,2024-11-01,1.50823
장어 초밥,2024-12-01,1.61848
팥밥,2024-01-01,12.45372
팥밥,2024-02-01,15.97079
팥밥,2024-03-01,11.5436
팥밥,2024-04-01,8.3299
팥밥,2024-05-01,8.9675
팥밥,2024-06-01,7.4095
팥밥,2024-07-01,8.03167
팥밥,2024-08-01,8.03167
팥밥,2024-09-01,7.57918
팥밥,2024-10-01,9.0292
팥밥,2024-11-01,8.81838
팥밥,2024-12-01,12.2429
해물 덮밥,2024-01-01,4.35006
해물 덮밥,2024-02-01,3.37309
해물 덮밥,2024-03-01,4.33977
해물 덮밥,2024-04-01,4.18037
해물 덮밥,2024-05-01,4.14952
해물 덮밥,2024-06-01,3.91814
해물 덮밥,2024-07-01,4.83854
해물 덮밥,2024-08-01,4.71513
해물 덮밥,2024-09-01,4.70999
해물 덮밥,2024-10-01,4.52488
해물 덮밥,2024-11-01,4.23693
해물 덮밥,2024-12-01,3.96955
혼합잡곡밥,2024-01-01,0.08227
혼합잡곡밥,2024-02-01,0.09769
혼합잡곡밥,2024-03-01,0.37021
혼합잡곡밥,2024-04-01,0.76614
혼합잡곡밥,2024-05-01,0.51933
혼합잡곡밥,2024-06-01,0.45248
혼합잡곡밥,2024-07-01,0.47819
혼합잡곡밥,2024-08-01,0.27252
혼합잡곡밥,2024-09-01,0.52961
혼합잡곡밥,2024-10-01,0.33422
혼합잡곡밥,2024-11-01,0.41135
혼합잡곡밥,2024-12-01,0.31879
계란빵,2024-01-01,76.16721
계란빵,2024-02-01,50.45763
계란빵,2024-03-01,58.85438
계란빵,2024-04-01,38.33299
계란빵,2024-05-01,32.86713
계란빵,2024-06-01,27.06705
계란빵,2024-07-01,35.34039
계란빵,2024-08-01,28.80501
계란빵,2024-09-01,29.06725
계란빵,2024-10-01,46.16927
계란빵,2024-11-01,58.14479
계란빵,2024-12-01,61.34821
츄러스,2024-01-01,96.40065
츄러스,2024-02-01,86.33278
츄러스,2024-03-01,95.09461
츄러스,2024-04-01,100.0
츄러스,2024-05-01,96.88914
츄러스,2024-06-01,85.07301
츄러스,2024-07-01,80.63039
츄러스,2024-08-01,81.40682
