BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202008,CNVNC_M02001,간장·마늘치킨,636070,0.0055
202008,KOREA_M01001,간장·양념게장,636070,0.0308
202008,KOREA_M01002,갈비찜·뼈찜,636070,0.009
202008,KOREA_M02001,갈비탕,636070,0.013
202008,KOREA_M02002,감자탕,636070,0.0103
202008,CNVNC_M01001,감자튀김·사이드메뉴,636070,0.0277
202008,BARFD_M01001,견과류,636070,0.0002
202008,KOREA_M01003,계란찜·계란말이,636070,0.0473
202008,CNVNC_M01002,고로케·소시지빵·피자빵,636070,0.0073
202008,KOREA_M06001,고추장찌개·돼지찌개,636070,0.0394
202008,BARFD_M01002,골뱅이,636070,0.0061
202008,KOREA_M01004,곰장어 요리,636070,0.0038
202008,KOREA_M05001,곱창·막창·내장부위,636070,0.0721
202008,KOREA_M01005,공기밥·돌솥밥,636070,0.0106
202008,BARFD_M01003,과일안주,636070,0.0013
202008,KOREA_M02003,국·탕,636070,0.0264
202008,KOREA_M02004,국밥,636070,0.0107
202008,KOREA_M03001,국수·칼국수·수제비,636070,0.1085
202008,KOREA_M01006,굴요리,636070,0.0024
202008,FORGN_M01001,그라탕,636070,0.002
202008,KOREA_M05002,기타동물,636070,0.0003
202008,CNVNC_M02002,기타시즈닝치킨,636070,0.0256
202008,SNACK_M01001,김밥·주먹밥,636070,0.0311
202008,KOREA_M06002,김치찌개·참치찌개,636070,0.0256
202008,SPECL_M01001,나베·전골,636070,0.0458
202008,KOREA_M01008,낙지·오징어·쭈꾸미 요리,636070,0.0955
202008,KOREA_M05003,닭갈비,636070,0.0261
202008,CNVNC_M01003,닭강정,636070,0.009
202008,KOREA_M05004,닭똥집·모래집,636070,0.0026
202008,KOREA_M05005,닭발,636070,0.0178
202008,KOREA_M05006,닭볶음탕,636070,0.0184
202008,SPECL_M01002,덮밥,636070,0.0348
202008,CNVNC_M01004,도넛·꽈배기,636070,0.0129
202008,SPECL_M01003,도시락,636070,0.0037
202008,SPECL_M01004,돈가스,636070,0.0417
202008,FORGN_M01003,돈부리,636070,0.0159
202008,FORGN_M01004,동남아음식,636070,0.0066
202008,KOREA_M05007,돼지갈비·주물럭·양념고기,636070,0.0338
202008,KOREA_M05008,돼지고기 구이,636070,0.1173
202008,KOREA_M06003,된장찌개·청국장,636070,0.0521
202008,SPECL_M01005,두부요리,636070,0.0216
202008,CNVNC_M01005,떡·모찌,636070,0.0442
202008,SNACK_M01002,떡볶이,636070,0.0411
202008,DRINK_M01001,라떼류음료,636070,0.0324
202008,DRINK_M01002,라떼류커피,636070,0.0382
202008,SNACK_M01003,라면,636070,0.0462
202008,FORGN_M01006,리소토·필라프,636070,0.0249
202008,FORGN_M01007,마라탕,636070,0.0166
202008,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,636070,0.0703
202008,ALCHL_M01003,막걸리,636070,0.0262
202008,CNVNC_M01007,만두,636070,0.0477
202008,KOREA_M02005,매운탕·해물탕,636070,0.035
202008,ALCHL_M01004,맥주,636070,0.0135
202008,CNVNC_M01008,머핀·카스텔라,636070,0.0062
202008,FORGN_M01008,멕시칸음식,636070,0.0015
202008,SPECL_M01006,면류,636070,0.0019
202008,KOREA_M03002,물냉면,636070,0.0281
202008,KOREA_M01009,민물고기 요리,636070,0.0031
202008,KOREA_M01010,민물장어 요리,636070,0.0047
202008,SPECL_M01007,바닷가재·게요리,636070,0.0354
202008,CNVNC_M02003,반반치킨,636070,0.0011
202008,KOREA_M04001,백반,636070,0.0139
202008,KOREA_M05009,백숙·토종닭,636070,0.0077
202008,SPECL_M01010,버섯요리,636070,0.002
202008,BARFD_M01004,번데기,636070,0.0025
