date,food_name,trend
2024-01-01,돼지고기 구이,0
2024-01-02,돼지고기 구이,0
2024-01-03,돼지고기 구이,0
2024-01-04,돼지고기 구이,0
2024-01-05,돼지고기 구이,0
2024-01-06,돼지고기 구이,0
2024-01-07,돼지고기 구이,0
2024-01-08,돼지고기 구이,0
2024-01-09,돼지고기 구이,0
2024-01-10,돼지고기 구이,0
2024-01-11,돼지고기 구이,0
2024-01-12,돼지고기 구이,0
2024-01-13,돼지고기 구이,0
2024-01-14,돼지고기 구이,0
2024-01-15,돼지고기 구이,0
2024-01-16,돼지고기 구이,0
2024-01-17,돼지고기 구이,0
2024-01-18,돼지고기 구이,0
2024-01-19,돼지고기 구이,0
2024-01-20,돼지고기 구이,0
2024-01-21,돼지고기 구이,0
2024-01-22,돼지고기 구이,0
2024-01-23,돼지고기 구이,0
2024-01-24,돼지고기 구이,0
2024-01-25,돼지고기 구이,0
2024-01-26,돼지고기 구이,0
2024-01-27,돼지고기 구이,0
2024-01-28,돼지고기 구이,0
2024-01-29,돼지고기 구이,0
2024-01-30,돼지고기 구이,0
2024-01-31,돼지고기 구이,0
2024-02-01,돼지고기 구이,0
2024-02-02,돼지고기 구이,0
2024-02-03,돼지고기 구이,0
2024-02-04,돼지고기 구이,0
2024-02-05,돼지고기 구이,0
2024-02-06,돼지고기 구이,0
2024-02-07,돼지고기 구이,0
2024-02-08,돼지고기 구이,0
2024-02-09,돼지고기 구이,0
2024-02-10,돼지고기 구이,0
2024-02-11,돼지고기 구이,0
2024-02-12,돼지고기 구이,0
2024-02-13,돼지고기 구이,0
2024-02-14,돼지고기 구이,0
2024-02-15,돼지고기 구이,0
2024-02-16,돼지고기 구이,0
2024-02-17,돼지고기 구이,0
2024-02-18,돼지고기 구이,0
2024-02-19,돼지고기 구이,0
2024-02-20,돼지고기 구이,0
2024-02-21,돼지고기 구이,0
2024-02-22,돼지고기 구이,0
2024-02-23,돼지고기 구이,0
2024-02-24,돼지고기 구이,0
2024-02-25,돼지고기 구이,0
2024-02-26,돼지고기 구이,0
2024-02-27,돼지고기 구이,0
2024-02-28,돼지고기 구이,0
2024-02-29,돼지고기 구이,0
2024-03-01,돼지고기 구이,0
2024-03-02,돼지고기 구이,0
2024-03-03,돼지고기 구이,0
2024-03-04,돼지고기 구이,0
2024-03-05,돼지고기 구이,0
2024-03-06,돼지고기 구이,0
2024-03-07,돼지고기 구이,0
2024-03-08,돼지고기 구이,0
2024-03-09,돼지고기 구이,0
2024-03-10,돼지고기 구이,0
2024-03-11,돼지고기 구이,0
2024-03-12,돼지고기 구이,0
2024-03-13,돼지고기 구이,0
2024-03-14,돼지고기 구이,0
2024-03-15,돼지고기 구이,0
2024-03-16,돼지고기 구이,0
2024-03-17,돼지고기 구이,0
2024-03-18,돼지고기 구이,0
2024-03-19,돼지고기 구이,0
2024-03-20,돼지고기 구이,0
2024-03-21,돼지고기 구이,0
2024-03-22,돼지고기 구이,0
2024-03-23,돼지고기 구이,0
2024-03-24,돼지고기 구이,0
2024-03-25,돼지고기 구이,0
2024-03-26,돼지고기 구이,0
2024-03-27,돼지고기 구이,0
2024-03-28,돼지고기 구이,0
2024-03-29,돼지고기 구이,0
2024-03-30,돼지고기 구이,0
2024-03-31,돼지고기 구이,0
2024-04-01,돼지고기 구이,0
2024-04-02,돼지고기 구이,0
2024-04-03,돼지고기 구이,0
2024-04-04,돼지고기 구이,0
2024-04-05,돼지고기 구이,0
2024-04-06,돼지고기 구이,0
2024-04-07,돼지고기 구이,0
2024-04-08,돼지고기 구이,0
2024-04-09,돼지고기 구이,0
2024-04-10,돼지고기 구이,0
2024-04-11,돼지고기 구이,0
2024-04-12,돼지고기 구이,0
2024-04-13,돼지고기 구이,0
2024-04-14,돼지고기 구이,0
2024-04-15,돼지고기 구이,0
2024-04-16,돼지고기 구이,0
2024-04-17,돼지고기 구이,0
2024-04-18,돼지고기 구이,0
2024-04-19,돼지고기 구이,0
2024-04-20,돼지고기 구이,0
2024-04-21,돼지고기 구이,0
2024-04-22,돼지고기 구이,0
2024-04-23,돼지고기 구이,0
2024-04-24,돼지고기 구이,0
2024-04-25,돼지고기 구이,0
2024-04-26,돼지고기 구이,0
2024-04-27,돼지고기 구이,0
2024-04-28,돼지고기 구이,0
2024-04-29,돼지고기 구이,0
2024-04-30,돼지고기 구이,0
2024-01-01,국수,39
2024-01-02,국수,29
2024-01-03,국수,37
2024-01-04,국수,34
2024-01-05,국수,31
2024-01-06,국수,40
2024-01-07,국수,39
2024-01-08,국수,30
2024-01-09,국수,26
2024-01-10,국수,35
2024-01-11,국수,29
2024-01-12,국수,29
2024-01-13,국수,42
2024-01-14,국수,33
2024-01-15,국수,26
2024-01-16,국수,34
2024-01-17,국수,28
2024-01-18,국수,28
2024-01-19,국수,31
2024-01-20,국수,38
2024-01-21,국수,36
2024-01-22,국수,33
2024-01-23,국수,31
2024-01-24,국수,23
2024-01-25,국수,24
2024-01-26,국수,21
2024-01-27,국수,47
2024-01-28,국수,37
2024-01-29,국수,34
2024-01-30,국수,31
2024-01-31,국수,30
2024-02-01,국수,30
2024-02-02,국수,28
2024-02-03,국수,28
2024-02-04,국수,35
2024-02-05,국수,32
2024-02-06,국수,31
2024-02-07,국수,30
2024-02-08,국수,34
2024-02-09,국수,31
2024-02-10,국수,27
2024-02-11,국수,27
2024-02-12,국수,40
2024-02-13,국수,24
2024-02-14,국수,27
2024-02-15,국수,28
2024-02-16,국수,29
2024-02-17,국수,31
2024-02-18,국수,31
2024-02-19,국수,25
2024-02-20,국수,27
2024-02-21,국수,33
2024-02-22,국수,29
2024-02-23,국수,31
2024-02-24,국수,33
2024-02-25,국수,25
2024-02-26,국수,26
2024-02-27,국수,28
2024-02-28,국수,29
2024-02-29,국수,31
2024-03-01,국수,37
2024-03-02,국수,46
2024-03-03,국수,40
2024-03-04,국수,27
2024-03-05,국수,40
2024-03-06,국수,30
2024-03-07,국수,24
2024-03-08,국수,31
2024-03-09,국수,37
2024-03-10,국수,38
2024-03-11,국수,26
2024-03-12,국수,30
2024-03-13,국수,30
2024-03-14,국수,28
2024-03-15,국수,35
2024-03-16,국수,40
2024-03-17,국수,35
2024-03-18,국수,38
2024-03-19,국수,24
2024-03-20,국수,34
2024-03-21,국수,28
2024-03-22,국수,36
2024-03-23,국수,32
2024-03-24,국수,38
2024-03-25,국수,33
2024-03-26,국수,27
2024-03-27,국수,26
2024-03-28,국수,31
2024-03-29,국수,30
2024-03-30,국수,38
2024-03-31,국수,38
2024-04-01,국수,33
2024-04-02,국수,34
2024-04-03,국수,28
2024-04-04,국수,32
2024-04-05,국수,33
2024-04-06,국수,35
2024-04-07,국수,42
2024-04-08,국수,26
2024-04-09,국수,30
2024-04-10,국수,33
2024-04-11,국수,28
2024-04-12,국수,35
2024-04-13,국수,33
2024-04-14,국수,42
2024-04-15,국수,29
2024-04-16,국수,36
2024-04-17,국수,34
2024-04-18,국수,32
2024-04-19,국수,38
2024-04-20,국수,37
2024-04-21,국수,36
2024-04-22,국수,33
2024-04-23,국수,40
2024-04-24,국수,28
2024-04-25,국수,32
2024-04-26,국수,38
2024-04-27,국수,37
2024-04-28,국수,44
2024-04-29,국수,38
2024-04-30,국수,31
2024-01-01,칼국수,44
2024-01-02,칼국수,30
2024-01-03,칼국수,40
2024-01-04,칼국수,45
2024-01-05,칼국수,55
2024-01-06,칼국수,80
2024-01-07,칼국수,76
2024-01-08,칼국수,64
2024-01-09,칼국수,41
2024-01-10,칼국수,40
2024-01-11,칼국수,48
2024-01-12,칼국수,47
2024-01-13,칼국수,52
2024-01-14,칼국수,55
2024-01-15,칼국수,41
2024-01-16,칼국수,100
2024-01-17,칼국수,69
2024-01-18,칼국수,41
2024-01-19,칼국수,41
2024-01-20,칼국수,38
2024-01-21,칼국수,82
2024-01-22,칼국수,50
2024-01-23,칼국수,44
2024-01-24,칼국수,34
2024-01-25,칼국수,32
2024-01-26,칼국수,34
2024-01-27,칼국수,47
2024-01-28,칼국수,39
2024-01-29,칼국수,34
2024-01-30,칼국수,31
2024-01-31,칼국수,29
2024-02-01,칼국수,36
2024-02-02,칼국수,19
2024-02-03,칼국수,37
2024-02-04,칼국수,38
2024-02-05,칼국수,29
2024-02-06,칼국수,26
2024-02-07,칼국수,28
2024-02-08,칼국수,41
2024-02-09,칼국수,39
2024-02-10,칼국수,32
2024-02-11,칼국수,49
2024-02-12,칼국수,47
2024-02-13,칼국수,37
2024-02-14,칼국수,26
2024-02-15,칼국수,33
2024-02-16,칼국수,34
2024-02-17,칼국수,31
2024-02-18,칼국수,30
2024-02-19,칼국수,32
2024-02-20,칼국수,26
2024-02-21,칼국수,32
2024-02-22,칼국수,34
2024-02-23,칼국수,28
2024-02-24,칼국수,37
2024-02-25,칼국수,32
2024-02-26,칼국수,27
2024-02-27,칼국수,36
2024-02-28,칼국수,37
2024-02-29,칼국수,33
2024-03-01,칼국수,33
2024-03-02,칼국수,35
2024-03-03,칼국수,39
2024-03-04,칼국수,24
2024-03-05,칼국수,26
2024-03-06,칼국수,31
2024-03-07,칼국수,22
2024-03-08,칼국수,24
2024-03-09,칼국수,33
2024-03-10,칼국수,38
2024-03-11,칼국수,28
2024-03-12,칼국수,30
2024-03-13,칼국수,23
2024-03-14,칼국수,31
2024-03-15,칼국수,33
2024-03-16,칼국수,39
2024-03-17,칼국수,48
2024-03-18,칼국수,28
2024-03-19,칼국수,31
2024-03-20,칼국수,32
2024-03-21,칼국수,28
2024-03-22,칼국수,36
2024-03-23,칼국수,37
2024-03-24,칼국수,40
2024-03-25,칼국수,28
2024-03-26,칼국수,30
2024-03-27,칼국수,33
2024-03-28,칼국수,32
2024-03-29,칼국수,26
2024-03-30,칼국수,39
2024-03-31,칼국수,39
2024-04-01,칼국수,23
2024-04-02,칼국수,38
2024-04-03,칼국수,33
2024-04-04,칼국수,28
2024-04-05,칼국수,30
2024-04-06,칼국수,49
2024-04-07,칼국수,26
2024-04-08,칼국수,32
2024-04-09,칼국수,27
2024-04-10,칼국수,31
2024-04-11,칼국수,38
2024-04-12,칼국수,32
2024-04-13,칼국수,27
2024-04-14,칼국수,30
2024-04-15,칼국수,39
2024-04-16,칼국수,25
2024-04-17,칼국수,24
2024-04-18,칼국수,29
2024-04-19,칼국수,32
2024-04-20,칼국수,38
2024-04-21,칼국수,27
2024-04-22,칼국수,24
2024-04-23,칼국수,34
2024-04-24,칼국수,30
2024-04-25,칼국수,32
2024-04-26,칼국수,34
2024-04-27,칼국수,34
2024-04-28,칼국수,30
2024-04-29,칼국수,32
2024-04-30,칼국수,37
2024-01-01,수제비,0
2024-01-02,수제비,9
2024-01-03,수제비,7
2024-01-04,수제비,7
2024-01-05,수제비,0
2024-01-06,수제비,0
2024-01-07,수제비,0
2024-01-08,수제비,0
2024-01-09,수제비,7
2024-01-10,수제비,6
2024-01-11,수제비,9
2024-01-12,수제비,0
2024-01-13,수제비,0
2024-01-14,수제비,0
2024-01-15,수제비,0
2024-01-16,수제비,6
2024-01-17,수제비,0
2024-01-18,수제비,0
2024-01-19,수제비,6
2024-01-20,수제비,0
2024-01-21,수제비,8
2024-01-22,수제비,8
2024-01-23,수제비,7
2024-01-24,수제비,8
2024-01-25,수제비,11
2024-01-26,수제비,9
2024-01-27,수제비,9
2024-01-28,수제비,8
2024-01-29,수제비,6
