food_name,period,ratio
돼지고기 구이,2024-01-01,0.26025
돼지고기 구이,2024-02-01,0.23788
돼지고기 구이,2024-03-01,0.23331
돼지고기 구이,2024-04-01,0.2206
돼지고기 구이,2024-05-01,0.26685
돼지고기 구이,2024-06-01,0.24957
돼지고기 구이,2024-07-01,0.34005
돼지고기 구이,2024-08-01,0.24805
돼지고기 구이,2024-09-01,0.23381
돼지고기 구이,2024-10-01,0.19671
돼지고기 구이,2024-11-01,0.2084
돼지고기 구이,2024-12-01,0.21552
국수,2024-01-01,21.02646
국수,2024-02-01,20.55984
국수,2024-03-01,23.90651
국수,2024-04-01,24.5429
국수,2024-05-01,27.58459
국수,2024-06-01,28.56917
국수,2024-07-01,26.15117
국수,2024-08-01,26.88262
국수,2024-09-01,24.6898
국수,2024-10-01,22.64541
국수,2024-11-01,18.60033
국수,2024-12-01,18.48647
칼국수,2024-01-01,88.11587
칼국수,2024-02-01,84.51607
칼국수,2024-03-01,84.60553
칼국수,2024-04-01,78.88762
칼국수,2024-05-01,86.81817
칼국수,2024-06-01,77.63923
칼국수,2024-07-01,81.59383
칼국수,2024-08-01,76.94286
칼국수,2024-09-01,95.67891
칼국수,2024-10-01,100.0
칼국수,2024-11-01,85.45185
칼국수,2024-12-01,85.12755
수제비,2024-01-01,21.00664
수제비,2024-02-01,16.30178
수제비,2024-03-01,17.50494
수제비,2024-04-01,16.75316
수제비,2024-05-01,17.93801
수제비,2024-06-01,17.28383
수제비,2024-07-01,22.29722
수제비,2024-08-01,16.99867
수제비,2024-09-01,20.37838
수제비,2024-10-01,22.77807
수제비,2024-11-01,20.38854
수제비,2024-12-01,19.87617
소고기,2024-01-01,42.60596
소고기,2024-02-01,43.19864
소고기,2024-03-01,39.27251
소고기,2024-04-01,37.99616
소고기,2024-05-01,43.36689
소고기,2024-06-01,38.02717
소고기,2024-07-01,40.18441
소고기,2024-08-01,42.03616
소고기,2024-09-01,46.00092
소고기,2024-10-01,37.09189
소고기,2024-11-01,39.58258
소고기,2024-12-01,44.3896
된장찌개,2024-01-01,61.33335
된장찌개,2024-02-01,52.07291
된장찌개,2024-03-01,57.96505
된장찌개,2024-04-01,52.93459
된장찌개,2024-05-01,52.52622
된장찌개,2024-06-01,48.97143
된장찌개,2024-07-01,50.17071
된장찌개,2024-08-01,50.95683
된장찌개,2024-09-01,48.2532
된장찌개,2024-10-01,54.72681
된장찌개,2024-11-01,51.36042
된장찌개,2024-12-01,52.12646
청국장,2024-01-01,58.21275
청국장,2024-02-01,43.80708
청국장,2024-03-01,47.61244
청국장,2024-04-01,42.12006
청국장,2024-05-01,39.36574
청국장,2024-06-01,37.93502
청국장,2024-07-01,36.30921
청국장,2024-08-01,38.36825
청국장,2024-09-01,39.85635
청국장,2024-10-01,55.58371
청국장,2024-11-01,52.55778
청국장,2024-12-01,55.20499
곱창,2024-01-01,95.56726
곱창,2024-02-01,92.99465
곱창,2024-03-01,95.56439
곱창,2024-04-01,100.0
곱창,2024-05-01,99.70448
곱창,2024-06-01,90.12174
곱창,2024-07-01,88.83352
곱창,2024-08-01,84.37783
곱창,2024-09-01,80.57343
곱창,2024-10-01,81.03248
곱창,2024-11-01,69.84114
곱창,2024-12-01,72.6012
막창,2024-01-01,51.09264
막창,2024-02-01,50.5915
막창,2024-03-01,52.84852
막창,2024-04-01,68.96512
막창,2024-05-01,57.14258
막창,2024-06-01,52.40381
막창,2024-07-01,54.30027
막창,2024-08-01,54.36531
막창,2024-09-01,52.38181
막창,2024-10-01,51.81565
막창,2024-11-01,45.67485
막창,2024-12-01,44.4641
제육볶음,2024-01-01,100.0
제육볶음,2024-02-01,70.47539
제육볶음,2024-03-01,82.75466
제육볶음,2024-04-01,75.8141
제육볶음,2024-05-01,76.99762
제육볶음,2024-06-01,73.82556
제육볶음,2024-07-01,75.20359
제육볶음,2024-08-01,79.63064
제육볶음,2024-09-01,65.86554
제육볶음,2024-10-01,76.66131
제육볶음,2024-11-01,67.22834
제육볶음,2024-12-01,67.52715
두루치기,2024-01-01,28.6563
두루치기,2024-02-01,23.99137
두루치기,2024-03-01,26.60682
두루치기,2024-04-01,25.67641
두루치기,2024-05-01,28.78519
두루치기,2024-06-01,26.95836
두루치기,2024-07-01,26.88805
두루치기,2024-08-01,30.19018
두루치기,2024-09-01,27.00406
두루치기,2024-10-01,28.63989
두루치기,2024-11-01,25.57095
두루치기,2024-12-01,24.29018
불고기,2024-01-01,32.61463
불고기,2024-02-01,31.15105
불고기,2024-03-01,29.79294
불고기,2024-04-01,29.41562
불고기,2024-05-01,32.57478
불고기,2024-06-01,30.77256
불고기,2024-07-01,28.68911
불고기,2024-08-01,34.00672
불고기,2024-09-01,33.83915
불고기,2024-10-01,29.82575
불고기,2024-11-01,26.46386
불고기,2024-12-01,26.32793
해산물요리,2024-01-01,1.6991
해산물요리,2024-02-01,1.35459
해산물요리,2024-03-01,1.5702
해산물요리,2024-04-01,1.30421
해산물요리,2024-05-01,1.91354
해산물요리,2024-06-01,1.62879
해산물요리,2024-07-01,1.753
해산물요리,2024-08-01,1.78113
해산물요리,2024-09-01,1.97916
해산물요리,2024-10-01,1.8362
해산물요리,2024-11-01,1.72722
해산물요리,2024-12-01,2.20297
회,2024-01-01,42.71552
회,2024-02-01,42.45304
회,2024-03-01,42.84324
회,2024-04-01,40.82892
회,2024-05-01,44.80132
회,2024-06-01,40.61449
회,2024-07-01,37.56078
회,2024-08-01,41.48513
회,2024-09-01,41.32108
회,2024-10-01,40.05437
회,2024-11-01,42.73544
회,2024-12-01,46.05631
계란찜,2024-01-01,81.17786
계란찜,2024-02-01,62.59067
계란찜,2024-03-01,66.5197
계란찜,2024-04-01,52.71854
계란찜,2024-05-01,53.50194
계란찜,2024-06-01,48.07122
계란찜,2024-07-01,51.43128
계란찜,2024-08-01,54.07163
계란찜,2024-09-01,48.6777
계란찜,2024-10-01,58.08629
계란찜,2024-11-01,53.37952
계란찜,2024-12-01,54.29525
계란말이,2024-01-01,28.62986
계란말이,2024-02-01,22.69172
계란말이,2024-03-01,24.96691
계란말이,2024-04-01,22.2381
계란말이,2024-05-01,22.43837
계란말이,2024-06-01,19.44277
계란말이,2024-07-01,20.51703
계란말이,2024-08-01,21.31033
계란말이,2024-09-01,20.77816
계란말이,2024-10-01,22.79504
계란말이,2024-11-01,21.70805
계란말이,2024-12-01,20.5609
죽,2024-01-01,34.86309
죽,2024-02-01,28.69567
죽,2024-03-01,28.21445
죽,2024-04-01,25.70502
죽,2024-05-01,24.89685
죽,2024-06-01,24.16936
죽,2024-07-01,25.26484
죽,2024-08-01,27.60797
죽,2024-09-01,25.87557
죽,2024-10-01,24.70153
죽,2024-11-01,23.30599
죽,2024-12-01,29.33824
육회,2024-01-01,37.63012
육회,2024-02-01,39.96263
육회,2024-03-01,48.38826
육회,2024-04-01,40.75169
육회,2024-05-01,39.82392
육회,2024-06-01,36.03147
육회,2024-07-01,34.43141
육회,2024-08-01,34.87866
육회,2024-09-01,35.56936
육회,2024-10-01,33.86881
육회,2024-11-01,31.31196
육회,2024-12-01,34.63805
고추장찌개,2024-01-01,47.5999
고추장찌개,2024-02-01,39.10917
고추장찌개,2024-03-01,47.24677
고추장찌개,2024-04-01,41.32774
고추장찌개,2024-05-01,47.90137
고추장찌개,2024-06-01,58.26533
고추장찌개,2024-07-01,69.31999
고추장찌개,2024-08-01,73.06149
고추장찌개,2024-09-01,100.0
고추장찌개,2024-10-01,89.86532
고추장찌개,2024-11-01,67.12194
고추장찌개,2024-12-01,51.65844
돼지찌개,2024-01-01,16.15327
돼지찌개,2024-02-01,13.89216
돼지찌개,2024-03-01,16.15764
돼지찌개,2024-04-01,15.85397
돼지찌개,2024-05-01,15.7644
돼지찌개,2024-06-01,14.88617
돼지찌개,2024-07-01,14.65679
돼지찌개,2024-08-01,16.05059
돼지찌개,2024-09-01,17.07956
돼지찌개,2024-10-01,18.67872
돼지찌개,2024-11-01,15.90422
돼지찌개,2024-12-01,15.89985
전,2024-01-01,61.60484
전,2024-02-01,85.14222
전,2024-03-01,56.70904
전,2024-04-01,54.07436
전,2024-05-01,57.0848
전,2024-06-01,50.77554
전,2024-07-01,57.67684
전,2024-08-01,53.09782
전,2024-09-01,89.18163
전,2024-10-01,55.73032
전,2024-11-01,46.91964
전,2024-12-01,45.4603
빈대떡,2024-01-01,21.43793
빈대떡,2024-02-01,27.66854
빈대떡,2024-03-01,20.91361
빈대떡,2024-04-01,18.58697
빈대떡,2024-05-01,21.35273
빈대떡,2024-06-01,18.85131
빈대떡,2024-07-01,22.87761
빈대떡,2024-08-01,15.78406
빈대떡,2024-09-01,24.09009
빈대떡,2024-10-01,19.14187
빈대떡,2024-11-01,15.14833
빈대떡,2024-12-01,14.3422
부침개,2024-01-01,18.51487
부침개,2024-02-01,24.51391
부침개,2024-03-01,19.81911
부침개,2024-04-01,24.36536
부침개,2024-05-01,29.0405
부침개,2024-06-01,24.8853
부침개,2024-07-01,32.38082
부침개,2024-08-01,17.47935
부침개,2024-09-01,26.42548
부침개,2024-10-01,24.52483
부침개,2024-11-01,15.60711
부침개,2024-12-01,12.44593
비빔밥,2024-01-01,77.40638
비빔밥,2024-02-01,66.1205
비빔밥,2024-03-01,74.46366
비빔밥,2024-04-01,84.41254
비빔밥,2024-05-01,93.86988
비빔밥,2024-06-01,87.59339
비빔밥,2024-07-01,90.7218
비빔밥,2024-08-01,91.21772
비빔밥,2024-09-01,94.92288
비빔밥,2024-10-01,100.0
비빔밥,2024-11-01,73.52427
비빔밥,2024-12-01,62.52894
물냉면,2024-01-01,1.73014
물냉면,2024-02-01,1.96909
물냉면,2024-03-01,2.70301
물냉면,2024-04-01,4.59306
물냉면,2024-05-01,7.2314
물냉면,2024-06-01,9.10438
물냉면,2024-07-01,7.6015
물냉면,2024-08-01,6.65289
물냉면,2024-09-01,3.07671
물냉면,2024-10-01,1.67085
물냉면,2024-11-01,1.37351
물냉면,2024-12-01,1.40136
돼지갈비,2024-01-01,94.94879
돼지갈비,2024-02-01,100.0
돼지갈비,2024-03-01,84.66043
돼지갈비,2024-04-01,76.71038
돼지갈비,2024-05-01,84.17265
돼지갈비,2024-06-01,78.05066
돼지갈비,2024-07-01,81.34836
돼지갈비,2024-08-01,89.44843
돼지갈비,2024-09-01,91.03036
돼지갈비,2024-10-01,70.34225
돼지갈비,2024-11-01,63.54114
돼지갈비,2024-12-01,72.71828
주물럭,2024-01-01,2.81351
주물럭,2024-02-01,2.47933
주물럭,2024-03-01,2.75871
주물럭,2024-04-01,2.71828
주물럭,2024-05-01,3.14049
주물럭,2024-06-01,3.05425
주물럭,2024-07-01,2.98688
주물럭,2024-08-01,3.03269
주물럭,2024-09-01,2.6042
주물럭,2024-10-01,2.62935
주물럭,2024-11-01,2.25296
주물럭,2024-12-01,2.78386
양념갈비,2024-01-01,10.85698
양념갈비,2024-02-01,13.55731
양념갈비,2024-03-01,11.72655
양념갈비,2024-04-01,9.5176
양념갈비,2024-05-01,9.94699
양념갈비,2024-06-01,9.22475
양념갈비,2024-07-01,9.47448
양념갈비,2024-08-01,11.219
양념갈비,2024-09-01,11.65199
양념갈비,2024-10-01,8.31656
양념갈비,2024-11-01,7.53772
양념갈비,2024-12-01,8.88968
새우구이,2024-01-01,4.00467
새우구이,2024-02-01,3.45041
새우구이,2024-03-01,3.55102
새우구이,2024-04-01,3.36687
새우구이,2024-05-01,3.97143
새우구이,2024-06-01,3.79626
새우구이,2024-07-01,5.20301
새우구이,2024-08-01,13.86902
새우구이,2024-09-01,30.29644
새우구이,2024-10-01,26.24236
새우구이,2024-11-01,8.74146
새우구이,2024-12-01,4.13133
김치찌개,2024-01-01,100.0
김치찌개,2024-02-01,85.7367
김치찌개,2024-03-01,88.4102
김치찌개,2024-04-01,81.29204
김치찌개,2024-05-01,81.03621
김치찌개,2024-06-01,73.53472
김치찌개,2024-07-01,75.79628
김치찌개,2024-08-01,78.48695
김치찌개,2024-09-01,78.13222
김치찌개,2024-10-01,81.07708
김치찌개,2024-11-01,82.6202
김치찌개,2024-12-01,76.88988
참치찌개,2024-01-01,3.04293
참치찌개,2024-02-01,2.78302
참치찌개,2024-03-01,2.78465
참치찌개,2024-04-01,2.36781
참치찌개,2024-05-01,2.4381
참치찌개,2024-06-01,2.24112
참치찌개,2024-07-01,2.38579
참치찌개,2024-08-01,2.51248
참치찌개,2024-09-01,3.12385
참치찌개,2024-10-01,3.2775
참치찌개,2024-11-01,2.47652
참치찌개,2024-12-01,2.35964
국,2024-01-01,27.76074
국,2024-02-01,24.65978
국,2024-03-01,27.4191
국,2024-04-01,25.70433
국,2024-05-01,25.70842
국,2024-06-01,24.36963
국,2024-07-01,25.00061
국,2024-08-01,24.71454
국,2024-09-01,25.02758
국,2024-10-01,25.23273
국,2024-11-01,23.45748
국,2024-12-01,25.63976
탕,2024-01-01,4.21744
탕,2024-02-01,4.31061
탕,2024-03-01,3.96979
탕,2024-04-01,3.65756
