LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
대구광역시 북구 경대로 35 (대현동),1,일반음식점,청춘라면경대점,2023-01-27
"대구광역시 북구 경대로17길 46-1, 1층 (복현동)",2,일반음식점,우즈카츠(Woo'z kats),2022-10-13
대구광역시 북구 경대로5길 34 (대현동),3,일반음식점,짬뽕한그릇에마음을담다,2020-11-10
대구광역시 북구 고성로 188 (고성동2가),4,일반음식점,대동순대국밥,2023-02-24
"대구광역시 북구 고성로 191, 1층 편익시설-6호 (고성동3가)",5,일반음식점,바른치킨대구FC아레나점,2022-05-31
"대구광역시 북구 고성로28길 3 (고성동2가,,51)",6,일반음식점,대창,2023-03-06
대구광역시 북구 고성로34길 81 (고성동2가),7,일반음식점,제일회타운,2023-11-01
"대구광역시 북구 고성로37길 29, 1층 (고성동3가)",8,일반음식점,대담히,2021-10-20
"대구광역시 북구 고성북로 12, 1층 (고성동2가)",9,일반음식점,황해식당,2023-03-06
대구광역시 북구 고성북로 23 (고성동3가),10,일반음식점,풍천장어침산점,2023-10-31
"대구광역시 북구 고성북로 25, 1층 (고성동3가)",11,일반음식점,막창도둑 고성점,2023-03-06
"대구광역시 북구 고성북로 3, 103동 1층 3호 (고성동2가, 고성아파트상가)",12,휴게음식점,고성김밥,2021-03-31
"대구광역시 북구 고성북로 31, 1층 (고성동3가)",13,일반음식점,뼈대있는돼지집,2020-05-22
"대구광역시 북구 고성북로 34, 301동 101호 (고성동3가, 오페라트루엘 시민의 숲)",14,일반음식점,삼돌식당,2023-02-24
"대구광역시 북구 고성북로 34, 상가동 7호 (고성동3가, 오페라트루엘 시민의 숲)",15,일반음식점,더밀데이,2023-09-12
대구광역시 북구 고성북로 35 (고성동3가),16,일반음식점,고성족발,2023-02-24
대구광역시 북구 고성북로 39 (고성동3가),17,일반음식점,길섶한우,2023-09-12
"대구광역시 북구 고성북로 39, 1층 (고성동3가)",18,일반음식점,줄기찜닭,2023-11-01
"대구광역시 북구 고성북로 43-3, 1층 (고성동3가)",19,일반음식점,명가산호아나고곰장어,2023-03-06
대구광역시 북구 고성북로 43-4 (고성동3가),20,일반음식점,소는 누가 키워,2023-11-01
"대구광역시 북구 고성북로 45, 1층 (고성동3가)",21,일반음식점,돈스쿠버,2023-02-24
