model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
DENSE,60,64,32,50,0.25,adam,3,0.32920920848846436
DENSE,60,128,64,30,0.0,adam,3,0.32945358753204346
DENSE,60,128,64,30,0.5,adam,3,0.3302993178367615
DENSE,60,64,32,30,0.25,adam,3,0.33037441968917847
DENSE,60,64,64,30,0.5,adam,3,0.33048397302627563
DENSE,60,128,64,50,0.25,adam,3,0.3307400941848755
DENSE,60,128,64,50,0.0,adam,3,0.33234575390815735
DENSE,60,64,64,30,0.5,adam,2,0.3332935571670532
DENSE,60,128,32,50,0.25,adam,3,0.3334275484085083
DENSE,60,64,32,30,0.25,adam,2,0.33349213004112244
DENSE,60,64,64,50,0.5,adam,3,0.3336141109466553
DENSE,60,128,32,30,0.25,adam,2,0.3337659239768982
DENSE,60,64,64,50,0.25,adam,3,0.3341349959373474
DENSE,60,128,64,30,0.25,adam,3,0.33469539880752563
DENSE,60,128,32,50,0.25,adam,2,0.334729939699173
DENSE,60,64,32,50,0.0,adam,3,0.33477702736854553
DENSE,60,64,64,30,0.0,adam,2,0.33530086278915405
DENSE,60,128,32,50,0.5,adam,2,0.3353184759616852
DENSE,60,128,32,50,0.0,adam,3,0.3356333076953888
DENSE,60,64,32,50,0.5,adam,3,0.33596619963645935
DENSE,60,128,64,50,0.5,adam,3,0.33603614568710327
DENSE,60,128,64,30,0.25,adam,2,0.3362065851688385
DENSE,60,64,32,50,0.5,adam,2,0.336653470993042
DENSE,60,64,32,30,0.5,adam,3,0.33732709288597107
DENSE,60,64,32,50,0.25,adam,2,0.3379201292991638
DENSE,60,128,32,30,0.25,adam,3,0.3379471004009247
DENSE,60,64,32,50,0.0,adam,2,0.3381750285625458
DENSE,60,64,64,30,0.0,adam,3,0.33860984444618225
DENSE,60,64,64,50,0.0,adam,3,0.33871254324913025
DENSE,60,64,32,30,0.0,adam,2,0.33897140622138977
DENSE,60,128,32,30,0.0,adam,3,0.3399161398410797
DENSE,60,128,64,50,0.25,adam,2,0.34047403931617737
DENSE,60,64,64,30,0.25,adam,3,0.340633362531662
DENSE,60,128,32,50,0.0,adam,2,0.3414217233657837
DENSE,60,64,64,50,0.25,adam,2,0.34146302938461304
DENSE,60,128,32,30,0.0,adam,2,0.3420279920101166
DENSE,60,128,64,50,0.0,adam,2,0.34261128306388855
DENSE,60,64,64,30,0.25,adam,2,0.3426732122898102
DENSE,60,128,32,30,0.5,adam,3,0.3430076837539673
DENSE,60,128,32,30,0.5,adam,2,0.34388571977615356
DENSE,60,128,64,50,0.5,adam,2,0.3438931703567505
DENSE,60,64,32,30,0.0,adam,3,0.34749820828437805
DENSE,60,64,64,50,0.0,adam,2,0.34772583842277527
DENSE,60,64,64,50,0.5,adam,2,0.34833624958992004
DENSE,60,128,64,30,0.5,adam,2,0.3486836850643158
DENSE,60,128,32,50,0.5,adam,3,0.34880125522613525
DENSE,60,128,64,30,0.0,adam,2,0.34925463795661926
DENSE,60,64,32,30,0.5,adam,2,0.3533835709095001
CNN,60,128,64,30,0.5,adam,3,0.43080204725265503
CNN,60,128,32,50,0.25,adam,3,0.4311297535896301
CNN,60,64,32,50,0.0,adam,3,0.4342215657234192
CNN,60,64,64,30,0.25,adam,3,0.43582892417907715
CNN,60,64,32,50,0.25,adam,3,0.4367503225803375
CNN,60,128,64,30,0.25,adam,3,0.4367561638355255
CNN,60,64,64,30,0.5,adam,3,0.4378001391887665
CNN,60,128,64,50,0.0,adam,3,0.43910714983940125
CNN,60,64,32,30,0.0,adam,3,0.43967294692993164
CNN,60,64,64,50,0.0,adam,2,0.4404630959033966
CNN,60,64,32,30,0.5,adam,3,0.4414238929748535
CNN,60,64,64,30,0.0,adam,2,0.44168102741241455
CNN,60,64,64,50,0.25,adam,3,0.4417472183704376
CNN,60,128,64,50,0.25,adam,3,0.44261103868484497
CNN,60,128,32,50,0.0,adam,3,0.442717045545578
CNN,60,128,32,30,0.25,adam,3,0.44280916452407837
CNN,60,128,32,50,0.5,adam,3,0.44311848282814026
CNN,60,128,32,30,0.0,adam,3,0.4441288411617279
CNN,60,128,32,30,0.5,adam,3,0.4444524943828583
CNN,60,64,32,50,0.0,adam,2,0.444725900888443
CNN,60,64,64,50,0.25,adam,2,0.4450991451740265
CNN,60,128,64,50,0.5,adam,3,0.44539377093315125
CNN,60,128,32,50,0.5,adam,2,0.4455116093158722
CNN,60,64,64,50,0.5,adam,3,0.44565218687057495
CNN,60,64,64,50,0.0,adam,3,0.4457622766494751
CNN,60,128,32,30,0.25,adam,2,0.4458632171154022
CNN,60,64,64,30,0.0,adam,3,0.4460870027542114
CNN,60,128,64,30,0.0,adam,2,0.4467082619667053
CNN,60,128,64,30,0.0,adam,3,0.44825977087020874
CNN,60,128,64,50,0.25,adam,2,0.44878727197647095
CNN,60,64,32,50,0.25,adam,2,0.4488506615161896
CNN,60,128,32,50,0.0,adam,2,0.44974783062934875
CNN,60,64,32,30,0.0,adam,2,0.4504692852497101
CNN,60,128,32,50,0.25,adam,2,0.4505895972251892
CNN,60,128,64,30,0.25,adam,2,0.45157697796821594
CNN,60,64,32,50,0.5,adam,2,0.4517364203929901
CNN,60,128,64,50,0.0,adam,2,0.451985239982605
CNN,60,64,32,30,0.25,adam,3,0.45203524827957153
CNN,60,64,32,30,0.25,adam,2,0.4524196684360504
CNN,60,64,32,50,0.5,adam,3,0.45273253321647644
CNN,60,64,64,50,0.5,adam,2,0.45365214347839355
CNN,60,128,32,30,0.5,adam,2,0.4548081159591675
CNN,60,64,64,30,0.5,adam,2,0.4553799033164978
CNN,60,64,64,30,0.25,adam,2,0.4556906223297119
CNN,60,64,32,30,0.5,adam,2,0.4561960995197296
CNN,60,128,32,30,0.0,adam,2,0.4566318392753601
CNN,60,128,64,50,0.5,adam,2,0.45820847153663635
CNN,60,128,64,30,0.5,adam,2,0.4598434865474701
