look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
1,32,32,10,0.0,adam,1,0.37819990515708923
1,32,32,10,0.0,adam,2,0.37089747190475464
1,32,32,10,0.0,adam,3,0.3671349883079529
1,32,32,10,0.0,rmsprop,1,0.37751227617263794
1,32,32,10,0.0,rmsprop,2,0.3750828504562378
1,32,32,10,0.0,rmsprop,3,0.37558242678642273
1,32,32,10,0.25,adam,1,0.3723822236061096
1,32,32,10,0.25,adam,2,0.36070093512535095
1,32,32,10,0.25,adam,3,0.37074965238571167
1,32,32,10,0.25,rmsprop,1,0.3787839412689209
1,32,32,10,0.25,rmsprop,2,0.38253214955329895
1,32,32,10,0.25,rmsprop,3,0.3866313695907593
1,32,32,10,0.5,adam,1,0.3890783190727234
1,32,32,10,0.5,adam,2,0.3747246563434601
1,32,32,10,0.5,adam,3,0.36662063002586365
1,32,32,10,0.5,rmsprop,1,0.3817507326602936
1,32,32,10,0.5,rmsprop,2,0.3814792335033417
1,32,32,10,0.5,rmsprop,3,0.3786320984363556
1,32,32,30,0.0,adam,1,0.370550274848938
1,32,32,30,0.0,adam,2,0.3729282319545746
1,32,32,30,0.0,adam,3,0.37008216977119446
1,32,32,30,0.0,rmsprop,1,0.37916308641433716
1,32,32,30,0.0,rmsprop,2,0.37332162261009216
1,32,32,30,0.0,rmsprop,3,0.37259021401405334
1,32,32,30,0.25,adam,1,0.3780631422996521
1,32,32,30,0.25,adam,2,0.37399452924728394
1,32,32,30,0.25,adam,3,0.37951183319091797
1,32,32,30,0.25,rmsprop,1,0.3756290078163147
1,32,32,30,0.25,rmsprop,2,0.372252494096756
1,32,32,30,0.25,rmsprop,3,0.3748179078102112
1,32,32,30,0.5,adam,1,0.3783082962036133
1,32,32,30,0.5,adam,2,0.37481236457824707
1,32,32,30,0.5,adam,3,0.38033217191696167
1,32,32,30,0.5,rmsprop,1,0.38236549496650696
1,32,32,30,0.5,rmsprop,2,0.3774871528148651
1,32,32,30,0.5,rmsprop,3,0.38429248332977295
1,32,32,50,0.0,adam,1,0.37696418166160583
1,32,32,50,0.0,adam,2,0.37307143211364746
1,32,32,50,0.0,adam,3,0.36842089891433716
1,32,32,50,0.0,rmsprop,1,0.37425538897514343
1,32,32,50,0.0,rmsprop,2,0.3754870891571045
1,32,32,50,0.0,rmsprop,3,0.375567764043808
1,32,32,50,0.25,adam,1,0.3708919882774353
1,32,32,50,0.25,adam,2,0.37827521562576294
1,32,32,50,0.25,adam,3,0.37526652216911316
1,32,32,50,0.25,rmsprop,1,0.3812665343284607
1,32,32,50,0.25,rmsprop,2,0.37800246477127075
1,32,32,50,0.25,rmsprop,3,0.3738097548484802
1,32,32,50,0.5,adam,1,0.37839192152023315
1,32,32,50,0.5,adam,2,0.3713306188583374
1,32,32,50,0.5,adam,3,0.3689493238925934
1,32,32,50,0.5,rmsprop,1,0.3778587579727173
1,32,32,50,0.5,rmsprop,2,0.378332257270813
1,32,32,50,0.5,rmsprop,3,0.38862350583076477
1,32,64,10,0.0,adam,1,0.3748820126056671
1,32,64,10,0.0,adam,2,0.38318583369255066
1,32,64,10,0.0,adam,3,0.38035619258880615
1,32,64,10,0.0,rmsprop,1,0.3750091791152954
1,32,64,10,0.0,rmsprop,2,0.38040056824684143
