changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,yearly,weekly,daily,MAE,RMSE
0.1,10.0,additive,True,False,True,0.43570564034416287,0.5770304132860139
0.1,1.0,additive,True,False,True,0.43574861871421106,0.5771852048472454
0.1,1.0,multiplicative,True,False,True,0.44117356680227726,0.5881806446978756
0.1,10.0,multiplicative,True,False,True,0.4414039492925523,0.5884461187398184
0.1,10.0,additive,False,False,True,0.4454941065152905,0.5745080045802681
0.1,1.0,additive,False,False,True,0.44559631993502496,0.5745405635902895
0.1,10.0,multiplicative,False,False,True,0.4474728818668492,0.5835694472396641
0.1,1.0,multiplicative,False,False,True,0.44795532630635304,0.5839929794072485
0.01,10.0,multiplicative,True,False,True,0.4509580985706519,0.5969671344320898
0.01,1.0,multiplicative,True,False,True,0.45116865223290875,0.5972318290383275
0.01,10.0,additive,True,False,True,0.4599819859917465,0.6083551335631141
0.01,1.0,additive,True,False,True,0.46075182478503796,0.6093021532892706
0.01,1.0,multiplicative,False,False,True,0.4714135004280869,0.6091591169461489
0.1,10.0,additive,True,True,True,0.4735123287309151,0.617078690249754
0.1,1.0,additive,True,True,True,0.47354916643269096,0.6170396626843611
0.01,10.0,multiplicative,False,False,True,0.47695732173024674,0.6153278449986004
0.1,1.0,additive,False,True,True,0.4775301735619927,0.6151531409617129
0.1,10.0,additive,False,True,True,0.4776396143228883,0.6152405467762182
0.01,1.0,additive,False,False,True,0.47836087043089165,0.5994673404094224
0.01,10.0,multiplicative,True,True,True,0.48508214130147614,0.6352997696681882
0.01,1.0,multiplicative,True,True,True,0.4852494931259842,0.6353866728430934
0.1,1.0,multiplicative,True,True,True,0.486193694042471,0.6349942080163838
0.1,10.0,multiplicative,False,True,True,0.48664649139054006,0.6297903392471489
0.1,1.0,multiplicative,False,True,True,0.48679304980091465,0.6299752184354126
0.1,10.0,multiplicative,True,True,True,0.48684323556460973,0.6359760300648077
0.01,1.0,additive,True,True,True,0.4880436391215317,0.6413546607403827
0.01,10.0,additive,True,True,True,0.4882629505228497,0.6416724892653768
0.01,10.0,additive,False,False,True,0.48983681271020013,0.6108535487618817
0.1,1.0,multiplicative,True,False,False,0.4969713177117366,0.637109786351611
0.1,10.0,multiplicative,True,False,False,0.4969796393300836,0.6381614849575455
0.1,10.0,additive,True,False,False,0.4974810406842281,0.6321234484047488
0.1,1.0,additive,True,False,False,0.49749596242720295,0.6320994988400244
0.01,1.0,additive,True,False,False,0.5023943608513497,0.6588330839343945
0.01,10.0,multiplicative,True,False,False,0.5024770241356261,0.6589807906902012
0.01,10.0,additive,True,False,False,0.5025410434684271,0.6591106796018451
0.01,1.0,multiplicative,True,False,False,0.5027322972961118,0.6594731062195769
0.1,1.0,multiplicative,False,False,False,0.5101793680164501,0.6267279005461559
0.1,1.0,additive,False,False,False,0.5101793680164501,0.6267279005461559
0.1,10.0,additive,False,False,False,0.5101793680164501,0.6267279005461559
0.1,10.0,multiplicative,False,False,False,0.5101793680164501,0.6267279005461559
0.01,10.0,additive,False,True,True,0.5114894099428362,0.6400421167821424
0.01,10.0,multiplicative,False,True,True,0.5151048445201043,0.6591639235345607
0.01,1.0,multiplicative,False,True,True,0.5234931200966049,0.6664258034539927
0.1,10.0,additive,True,True,False,0.5258107358301101,0.6664556387842118
0.01,10.0,multiplicative,True,True,False,0.5258667064397422,0.6872853312743221
0.01,1.0,multiplicative,True,True,False,0.5258868248572791,0.6872364006658378
0.1,1.0,additive,True,True,False,0.525940627035678,0.6663468268355223
0.01,10.0,additive,True,True,False,0.5260274024034781,0.6874097746364234
0.01,1.0,additive,True,True,False,0.5263128122819942,0.6882370149269809
0.01,1.0,additive,False,True,True,0.5282599496560431,0.6531727784877253
0.1,10.0,multiplicative,True,True,False,0.5328490926593894,0.6734941848062362
0.1,1.0,multiplicative,True,True,False,0.5397067272752392,0.6775908338831271
0.1,1.0,additive,False,True,False,0.5406968684478597,0.6630849626845977
0.1,10.0,additive,False,True,False,0.5409076958788903,0.6631984252916098
0.1,10.0,multiplicative,False,True,False,0.5444851424768474,0.6682517128417745
0.1,1.0,multiplicative,False,True,False,0.5447458046194711,0.6684509763820945
0.01,1.0,multiplicative,False,False,False,0.5633496398911806,0.6707803333414812
0.01,10.0,additive,False,False,False,0.5633496398911806,0.6707803333414812
0.01,1.0,additive,False,False,False,0.5633496398911806,0.6707803333414812
0.01,10.0,multiplicative,False,False,False,0.5633496398911806,0.6707803333414812
0.01,1.0,additive,False,True,False,0.5993852949480508,0.7139699311614884
0.01,10.0,additive,False,True,False,0.5998947469041458,0.7145392695918688
0.01,10.0,multiplicative,False,True,False,0.6053278586679764,0.7237694857078529
0.01,1.0,multiplicative,False,True,False,0.6076260422049264,0.7261257035504604
