model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,60,128,32,50,0.25,adam,2,0.3257905840873718
LSTM,60,128,32,10,0.25,adam,3,0.3270513117313385
LSTM,60,128,32,10,0.0,adam,3,0.3274654448032379
LSTM,60,64,32,10,0.25,adam,3,0.3276792168617248
LSTM,60,64,32,30,0.5,adam,3,0.328871488571167
LSTM,60,64,64,50,0.25,adam,3,0.3288767635822296
LSTM,60,32,32,30,0.5,adam,3,0.329158753156662
LSTM,60,64,32,10,0.0,adam,3,0.3295802772045135
GRU,60,128,64,50,0.0,adam,3,0.3296
LSTM,60,32,64,50,0.0,adam,2,0.3296272456645965
LSTM,60,64,64,30,0.25,adam,2,0.329746663570404
GRU,60,128,32,50,0.0,adam,3,0.3306
GRU,60,128,32,30,0.5,adam,3,0.3313
GRU,60,64,32,50,0.5,rmsprop,3,0.3319
GRU,60,32,32,30,0.25,adam,2,0.3319
GRU,60,64,64,50,0.25,adam,3,0.3321
GRU,60,64,32,50,0.25,adam,2,0.3332
GRU,60,64,32,50,0.0,adam,1,0.3334
GRU,60,128,32,30,0.0,adam,2,0.3334
GRU,60,128,64,50,0.25,adam,2,0.3345
