model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,1,32,32,10,0.0,adam,1,0.3781999051570892
LSTM,1,32,32,10,0.0,adam,2,0.3708974719047546
LSTM,1,32,32,10,0.0,adam,3,0.3671349883079529
LSTM,1,32,32,10,0.0,rmsprop,1,0.3775122761726379
LSTM,1,32,32,10,0.0,rmsprop,2,0.3750828504562378
LSTM,1,32,32,10,0.0,rmsprop,3,0.3755824267864227
LSTM,1,32,32,10,0.25,adam,1,0.3723822236061096
LSTM,1,32,32,10,0.25,adam,2,0.3607009351253509
LSTM,1,32,32,10,0.25,adam,3,0.3707496523857116
LSTM,1,32,32,10,0.25,rmsprop,1,0.3787839412689209
LSTM,1,32,32,10,0.25,rmsprop,2,0.3825321495532989
LSTM,1,32,32,10,0.25,rmsprop,3,0.3866313695907593
LSTM,1,32,32,10,0.5,adam,1,0.3890783190727234
LSTM,1,32,32,10,0.5,adam,2,0.3747246563434601
LSTM,1,32,32,10,0.5,adam,3,0.3666206300258636
LSTM,1,32,32,10,0.5,rmsprop,1,0.3817507326602936
LSTM,1,32,32,10,0.5,rmsprop,2,0.3814792335033417
LSTM,1,32,32,10,0.5,rmsprop,3,0.3786320984363556
LSTM,1,32,32,30,0.0,adam,1,0.370550274848938
LSTM,1,32,32,30,0.0,adam,2,0.3729282319545746
LSTM,1,32,32,30,0.0,adam,3,0.3700821697711944
LSTM,1,32,32,30,0.0,rmsprop,1,0.3791630864143371
LSTM,1,32,32,30,0.0,rmsprop,2,0.3733216226100921
LSTM,1,32,32,30,0.0,rmsprop,3,0.3725902140140533
LSTM,1,32,32,30,0.25,adam,1,0.3780631422996521
LSTM,1,32,32,30,0.25,adam,2,0.3739945292472839
LSTM,1,32,32,30,0.25,adam,3,0.3795118331909179
LSTM,1,32,32,30,0.25,rmsprop,1,0.3756290078163147
LSTM,1,32,32,30,0.25,rmsprop,2,0.372252494096756
LSTM,1,32,32,30,0.25,rmsprop,3,0.3748179078102112
LSTM,1,32,32,30,0.5,adam,1,0.3783082962036133
LSTM,1,32,32,30,0.5,adam,2,0.374812364578247
LSTM,1,32,32,30,0.5,adam,3,0.3803321719169616
LSTM,1,32,32,30,0.5,rmsprop,1,0.3823654949665069
LSTM,1,32,32,30,0.5,rmsprop,2,0.3774871528148651
LSTM,1,32,32,30,0.5,rmsprop,3,0.3842924833297729
LSTM,1,32,32,50,0.0,adam,1,0.3769641816616058
LSTM,1,32,32,50,0.0,adam,2,0.3730714321136474
LSTM,1,32,32,50,0.0,adam,3,0.3684208989143371
LSTM,1,32,32,50,0.0,rmsprop,1,0.3742553889751434
LSTM,1,32,32,50,0.0,rmsprop,2,0.3754870891571045
LSTM,1,32,32,50,0.0,rmsprop,3,0.375567764043808
LSTM,1,32,32,50,0.25,adam,1,0.3708919882774353
LSTM,1,32,32,50,0.25,adam,2,0.3782752156257629
LSTM,1,32,32,50,0.25,adam,3,0.3752665221691131
LSTM,1,32,32,50,0.25,rmsprop,1,0.3812665343284607
LSTM,1,32,32,50,0.25,rmsprop,2,0.3780024647712707
LSTM,1,32,32,50,0.25,rmsprop,3,0.3738097548484802
LSTM,1,32,32,50,0.5,adam,1,0.3783919215202331
LSTM,1,32,32,50,0.5,adam,2,0.3713306188583374
LSTM,1,32,32,50,0.5,adam,3,0.3689493238925934
LSTM,1,32,32,50,0.5,rmsprop,1,0.3778587579727173
LSTM,1,32,32,50,0.5,rmsprop,2,0.378332257270813
LSTM,1,32,32,50,0.5,rmsprop,3,0.3886235058307647
LSTM,1,32,64,10,0.0,adam,1,0.3748820126056671
LSTM,1,32,64,10,0.0,adam,2,0.3831858336925506
LSTM,1,32,64,10,0.0,adam,3,0.3803561925888061
LSTM,1,32,64,10,0.0,rmsprop,1,0.3750091791152954
LSTM,1,32,64,10,0.0,rmsprop,2,0.3804005682468414
LSTM,1,32,64,10,0.0,rmsprop,3,0.3722394108772278
LSTM,1,32,64,10,0.25,adam,1,0.3825359344482422
LSTM,1,32,64,10,0.25,adam,2,0.3905563950538635
LSTM,1,32,64,10,0.25,adam,3,0.3680240213871002
LSTM,1,32,64,10,0.25,rmsprop,1,0.3771756291389465
LSTM,1,32,64,10,0.25,rmsprop,2,0.3840371668338775
LSTM,1,32,64,10,0.25,rmsprop,3,0.3719331324100494
LSTM,1,32,64,10,0.5,adam,1,0.3846417069435119
LSTM,1,32,64,10,0.5,adam,2,0.3770914077758789
LSTM,1,32,64,10,0.5,adam,3,0.3714699745178222
LSTM,1,32,64,10,0.5,rmsprop,1,0.383274644613266
LSTM,1,32,64,10,0.5,rmsprop,2,0.3968795835971832
LSTM,1,32,64,10,0.5,rmsprop,3,0.387389212846756
LSTM,1,32,64,30,0.0,adam,1,0.3701303601264953
LSTM,1,32,64,30,0.0,adam,2,0.3726197183132171
LSTM,1,32,64,30,0.0,adam,3,0.3716171681880951
LSTM,1,32,64,30,0.0,rmsprop,1,0.3834723234176636
LSTM,1,32,64,30,0.0,rmsprop,2,0.3731118142604828
LSTM,1,32,64,30,0.0,rmsprop,3,0.3815563023090362
LSTM,1,32,64,30,0.25,adam,1,0.3692525327205658
LSTM,1,32,64,30,0.25,adam,2,0.3701432347297668
LSTM,1,32,64,30,0.25,adam,3,0.3744989335536957
LSTM,1,32,64,30,0.25,rmsprop,1,0.3758017122745514
LSTM,1,32,64,30,0.25,rmsprop,2,0.3797431886196136
LSTM,1,32,64,30,0.25,rmsprop,3,0.3773962557315826
LSTM,1,32,64,30,0.5,adam,1,0.3755406141281128
LSTM,1,32,64,30,0.5,adam,2,0.3778983354568481
