model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
GRU,1,32,32,10,0.0,adam,1,0.3855
GRU,1,32,32,10,0.0,adam,2,0.3826
GRU,1,32,32,10,0.0,adam,3,0.3887
GRU,1,32,32,10,0.0,rmsprop,1,0.3814
GRU,1,32,32,10,0.0,rmsprop,2,0.3754
GRU,1,32,32,10,0.0,rmsprop,3,0.3727
GRU,1,32,32,10,0.25,adam,1,0.3797
GRU,1,32,32,10,0.25,adam,2,0.3737
GRU,1,32,32,10,0.25,adam,3,0.3734
GRU,1,32,32,10,0.25,rmsprop,1,0.3779
GRU,1,32,32,10,0.25,rmsprop,2,0.383
GRU,1,32,32,10,0.25,rmsprop,3,0.3872
GRU,1,32,32,10,0.5,adam,1,0.3917
GRU,1,32,32,10,0.5,adam,2,0.3866
GRU,1,32,32,10,0.5,adam,3,0.3754
GRU,1,32,32,10,0.5,rmsprop,1,0.3797
GRU,1,32,32,10,0.5,rmsprop,2,0.3794
GRU,1,32,32,10,0.5,rmsprop,3,0.396
GRU,1,32,32,30,0.0,adam,1,0.3809
GRU,1,32,32,30,0.0,adam,2,0.378
GRU,1,32,32,30,0.0,adam,3,0.389
GRU,1,32,32,30,0.0,rmsprop,1,0.3767
GRU,1,32,32,30,0.0,rmsprop,2,0.3721
GRU,1,32,32,30,0.0,rmsprop,3,0.3788
GRU,1,32,32,30,0.25,adam,1,0.3776
GRU,1,32,32,30,0.25,adam,2,0.3692
GRU,1,32,32,30,0.25,adam,3,0.3722
GRU,1,32,32,30,0.25,rmsprop,1,0.3809
GRU,1,32,32,30,0.25,rmsprop,2,0.3788
GRU,1,32,32,30,0.25,rmsprop,3,0.3812
GRU,1,32,32,30,0.5,adam,1,0.3789
GRU,1,32,32,30,0.5,adam,2,0.3828
GRU,1,32,32,30,0.5,adam,3,0.3822
GRU,1,32,32,30,0.5,rmsprop,1,0.3802
GRU,1,32,32,30,0.5,rmsprop,2,0.388
GRU,1,32,32,30,0.5,rmsprop,3,0.3679
GRU,1,32,32,50,0.0,adam,1,0.3779
GRU,1,32,32,50,0.0,adam,2,0.3806
GRU,1,32,32,50,0.0,adam,3,0.3705
GRU,1,32,32,50,0.0,rmsprop,1,0.3753
GRU,1,32,32,50,0.0,rmsprop,2,0.3708
GRU,1,32,32,50,0.0,rmsprop,3,0.3799
GRU,1,32,32,50,0.25,adam,1,0.3787
GRU,1,32,32,50,0.25,adam,2,0.3839
GRU,1,32,32,50,0.25,adam,3,0.3715
GRU,1,32,32,50,0.25,rmsprop,1,0.3801
