瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 瘤搁柯档(∑C)
力林,2015-01-01,3.3,1.7,5.4,21.2,12.9,8.3,-1.8,5.4,1022.9,2.4
力林,2015-01-02,6.1,3.9,8.5,16.8,9.7,6.3,-2.8,5,1023.8,3.6
力林,2015-01-03,6.8,3.5,9.6,6,3.7,2.1,-0.2,6.1,1021.3,5.3
力林,2015-01-04,11.5,7.7,15,7,4.3,2.8,5,8.8,1016.1,7.3
力林,2015-01-05,12.9,6.8,17.5,13.4,7.2,2.2,4.9,9.2,1013.2,8.8
力林,2015-01-06,7.8,3.9,17.2,15.1,7.6,5.2,1.7,7.4,1014.6,8.2
力林,2015-01-07,4.7,3.4,5.8,16.1,8.1,5.2,-1.4,5.5,1020.3,3.8
力林,2015-01-08,6.3,5.1,7.6,13.3,7.6,5.4,-0.2,6,1024.1,5.5
力林,2015-01-09,8,6.5,10,11.7,7.5,5,-0.4,6,1024.2,6.5
力林,2015-01-10,8.6,6.5,11,13.7,8.1,4.6,-0.4,6,1022.9,7.2
力林,2015-01-11,8.5,5.4,12.1,12.4,7.5,4.9,1.1,6.7,1023.6,7.3
力林,2015-01-12,4.9,3.8,7.9,9.6,5.3,3,-3.4,4.8,1031,5
力林,2015-01-13,9.7,4.2,13.7,8.3,4.7,2.2,3.5,7.9,1029.1,8.7
力林,2015-01-14,9.3,8.7,10.7,11,7.6,3.2,6.8,9.9,1022,8.5
力林,2015-01-15,8.4,5.9,10.9,9.4,5.7,3.5,2.2,7.2,1020.3,6.5
力林,2015-01-16,7.7,5.3,9.4,16.2,9.6,4.2,2.9,7.5,1020.1,5.5
力林,2015-01-17,5,2.7,8,17.4,10.1,5.1,-1.9,5.3,1026.8,4.4
力林,2015-01-18,6,1.2,10.1,17.2,8.7,3.2,-0.5,6,1022.2,3.8
力林,2015-01-19,8.5,5.9,11,18.1,12.2,6.1,-1.1,5.6,1022.6,6.6
力林,2015-01-20,6.9,3.7,9.7,7.1,4.4,2.1,1.4,6.8,1023.6,7.2
力林,2015-01-21,9.2,7.8,10.6,6.3,3.6,1.5,5.6,9.2,1017.9,8
力林,2015-01-22,7.6,6.5,9,12.4,7.6,4.8,2.3,7.3,1016.7,5.5
力林,2015-01-23,6.9,5.4,9.9,8.6,4.6,2.8,0.4,6.3,1020.7,6.4
