瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),老 弥缴脚利汲(cm),乞闭 傈款樊(1/10),乞闭 瘤搁柯档(∑C)
184,力林,2015-01-01,3.3,1.7,5.4,4.2,21.2,12.9,8.3,-1.8,46,69.9,5.4,1022.9,1022.6,1025.5,1.8,8.5,2.4
184,力林,2015-01-02,6.1,3.9,8.5,0,16.8,9.7,6.3,-2.8,42,53.1,5,1023.8,1024.2,1026.4,0,7.5,3.6
184,力林,2015-01-03,6.8,3.5,9.6,0,6,3.7,2.1,-0.2,53,61.3,6.1,1021.3,1019.5,1023.9,0,6.1,5.3
184,力林,2015-01-04,11.5,7.7,15,0,7,4.3,2.8,5,54,64.8,8.8,1016.1,1017.2,1018.5,0,1,7.3
184,力林,2015-01-05,12.9,6.8,17.5,0.7,13.4,7.2,2.2,4.9,35,59.9,9.2,1013.2,1009.3,1015.7,0,7.3,8.8
184,力林,2015-01-06,7.8,3.9,17.2,0.2,15.1,7.6,5.2,1.7,48,66.1,7.4,1014.6,1008.9,1017.2,0,6.8,8.2
184,力林,2015-01-07,4.7,3.4,5.8,0,16.1,8.1,5.2,-1.4,55,64.4,5.5,1020.3,1020.5,1022.9,0,8.5,3.8
184,力林,2015-01-08,6.3,5.1,7.6,0,13.3,7.6,5.4,-0.2,57,63.4,6,1024.1,1025,1026.7,0,8,5.5
184,力林,2015-01-09,8,6.5,10,0,11.7,7.5,5,-0.4,39,55.8,6,1024.2,1025.3,1026.7,0,5.4,6.5
184,力林,2015-01-10,8.6,6.5,11,0,13.7,8.1,4.6,-0.4,37,53.5,6,1022.9,1024.3,1025.4,0,2.3,7.2
184,力林,2015-01-11,8.5,5.4,12.1,0,12.4,7.5,4.9,1.1,47,60,6.7,1023.6,1022.9,1026.1,0,2.5,7.3
184,力林,2015-01-12,4.9,3.8,7.9,0,9.6,5.3,3,-3.4,35,55,4.8,1031,1030,1033.6,0,2.4,5
184,力林,2015-01-13,9.7,4.2,13.7,0,8.3,4.7,2.2,3.5,49,66.1,7.9,1029.1,1029.6,1031.6,0,8.5,8.7
184,力林,2015-01-14,9.3,8.7,10.7,37.4,11,7.6,3.2,6.8,70,85.4,9.9,1022,1020.5,1024.5,0,10,8.5
184,力林,2015-01-15,8.4,5.9,10.9,0,9.4,5.7,3.5,2.2,53,65.3,7.2,1020.3,1020.1,1022.8,0,2.4,6.5
184,力林,2015-01-16,7.7,5.3,9.4,0.1,16.2,9.6,4.2,2.9,62,71.9,7.5,1020.1,1020.3,1022.6,0,7.5,5.5
184,力林,2015-01-17,5,2.7,8,0,17.4,10.1,5.1,-1.9,51,61,5.3,1026.8,1023.5,1029.4,0,5.3,4.4
184,力林,2015-01-18,6,1.2,10.1,0,17.2,8.7,3.2,-0.5,53,63.4,6,1022.2,1020.4,1024.7,0,6.1,3.8
184,力林,2015-01-19,8.5,5.9,11,0,18.1,12.2,6.1,-1.1,35,51.5,5.6,1022.6,1022,1025.1,0,6.9,6.6
184,力林,2015-01-20,6.9,3.7,9.7,0,7.1,4.4,2.1,1.4,61,68.3,6.8,1023.6,1024.3,1026.2,0,6.3,7.2
184,力林,2015-01-21,9.2,7.8,10.6,5.8,6.3,3.6,1.5,5.6,58,78.9,9.2,1017.9,1017.8,1020.4,0,9.3,8
184,力林,2015-01-22,7.6,6.5,9,4.7,12.4,7.6,4.8,2.3,58,69.6,7.3,1016.7,1016.5,1019.2,0,7.5,5.5
184,力林,2015-01-23,6.9,5.4,9.9,0,8.6,4.6,2.8,0.4,52,63.3,6.3,1020.7,1021.7,1023.2,0,6,6.4
184,力林,2015-01-24,8,5,11,0,5.4,4,2.2,2.6,62,69.1,7.4,1023.7,1023.9,1026.2,0,3.3,7.1
184,力林,2015-01-25,11.6,6.9,15.8,9.2,4.9,3.3,1.7,5.9,42,69.6,9.7,1020,1019.7,1022.5,0,8.3,9.1
184,力林,2015-01-26,10.3,7.4,13.6,0,10.4,6.7,3.9,7.9,76,85.4,10.8,1017.8,1018.7,1020.3,0,9.9,9.8
184,力林,2015-01-27,5.6,3.3,7.6,0,10.4,6.9,4,0.1,55,68,6.2,1022.3,1021.7,1024.8,0,8.1,6.9
184,力林,2015-01-28,4.5,3.2,6.4,0,9.9,6.3,3,-2.4,46,61,5.1,1024.5,1026,1027.1,0,5,5.1
184,力林,2015-01-29,6.8,4.8,8.1,19.1,11.1,7,3.2,4.7,55,87,8.6,1021.9,1022.7,1024.4,0,9.9,5.9
184,力林,2015-01-30,5,3.6,6.7,1,15.8,9.6,5.8,-0.7,53,66.6,5.9,1023.6,1023.3,1026.2,0,8.6,4.4
184,力林,2015-01-31,3.4,2.7,5.1,0,14.2,7.8,4.4,-3.2,55,62.1,4.9,1029,1029.5,1031.6,0,6.1,2.8
184,力林,2015-02-01,4.1,0.6,7.7,0,6.1,3.6,2,-3.1,42,59.9,4.9,1029.9,1031.2,1032.5,0,2.1,4.6
184,力林,2015-02-02,6,4.3,9.3,0,6,3.8,2.3,-1.1,42,60.5,5.6,1028.1,1029,1030.7,0,3.6,6.9
184,力林,2015-02-03,6.2,2.8,9.6,0,9.4,5.3,2.8,0,55,65.4,6.1,1026.1,1026.8,1028.6,0,5,3.9
184,力林,2015-02-04,6.8,6,7.4,0,12.4,7.5,5,-1.2,45,56.8,5.6,1021.6,1022,1024.1,0,8.5,4.7
184,力林,2015-02-05,5.5,3.1,6.9,0.3,14.6,9.4,5.9,-1.4,45,61.3,5.5,1022.3,1022.4,1024.9,0,8.3,4.3
184,力林,2015-02-06,6.1,5,7.8,0,9.7,5.3,2.9,-1.2,52,59.5,5.6,1024.1,1025.6,1026.6,0,8.4,5.7
184,力林,2015-02-07,8,5.8,9.7,0.1,10.4,6,3.1,1.2,48,63.3,6.7,1019.8,1021,1022.3,0,8.9,7.5
184,力林,2015-02-08,1.7,-0.7,8.8,0.1,19.7,11.2,7.4,-3.4,51,69.1,4.9,1025,1021.2,1027.6,0.1,8.6,3.1
184,力林,2015-02-09,1.8,-0.3,3.6,0.4,15,7.6,5,-5.7,45,58.1,4,1027,1027.5,1029.6,0.5,7,3.4
184,力林,2015-02-10,7.1,2.5,9.4,0,10.7,6.4,4.4,-1.3,46,55.1,5.6,1019.6,1018.9,1022.1,0,6.9,5.8
184,力林,2015-02-11,8.9,5.8,12.3,0,10.9,6.6,3.8,-0.7,37,51.8,5.8,1012.8,1012.6,1015.3,0,0.6,8.9
184,力林,2015-02-12,7,4.6,10,0,14.1,8.5,5.3,-0.7,46,58,5.9,1013.5,1011.8,1016,0,4.5,9.2
184,力林,2015-02-13,4.7,3.3,8.1,0,11.1,6.6,3.9,-3,48,57.4,4.9,1019.2,1019.2,1021.8,0,4.9,7.3
184,力林,2015-02-14,8.4,3.1,14.4,0,9.3,6.5,2.2,0.1,39,56.3,6.2,1020.3,1020.6,1022.8,0,1.5,9.5
184,力林,2015-02-15,12.5,9,14.9,12.8,15.2,9.3,2.6,9,53,79.5,11.7,1015.2,1012.9,1017.7,0,9.4,9.5
184,力林,2015-02-16,11.8,9.8,14.4,3,11.7,7.3,3.7,9.9,73,88.4,12.3,1011.5,1012,1014,0,9.6,11.3
184,力林,2015-02-17,8.3,7.3,10,0,13.7,7.6,5.4,1.4,52,62.5,6.8,1016.8,1016.9,1019.3,0,7,8.4
184,力林,2015-02-18,6.5,5.5,7.4,0,13.1,7.8,5.7,0.2,51,64.3,6.2,1020.6,1021.5,1023.1,0,8.5,5
184,力林,2015-02-19,5.7,4,8.9,0,13.4,7.9,3.3,-1.8,52,58.3,5.4,1024.3,1024.5,1026.9,0,4.1,9.5
184,力林,2015-02-20,9.3,3.1,14.9,0,11.6,6.6,3,0.4,39,54.4,6.5,1022.3,1021.6,1024.8,0,4.1,9.9
184,力林,2015-02-21,11.9,9,17.3,5.5,11.6,6.4,2.8,9.6,61,86.5,12.1,1013.6,1012.1,1016,0,9.5,10.7
184,力林,2015-02-22,8.7,6.5,10.8,0.3,11.4,6.8,4,5,56,79,8.9,1016.7,1016,1019.2,0,7.1,9.9
184,力林,2015-02-23,6.9,5.4,9.8,0,7.2,4.5,2.9,0.9,52,65.6,6.5,1018.3,1019.3,1020.8,0,5.4,9.2
184,力林,2015-02-24,7.9,5.9,10.9,0,6.5,3.9,2.2,-0.5,36,56.4,6,1016.7,1017.9,1019.2,0,5.5,10.9
184,力林,2015-02-25,10.3,6.8,12.7,0,4.9,3.2,1.5,3.9,50,64.8,8.2,1016.4,1016.7,1018.9,0,9.5,8.7
184,力林,2015-02-26,8.8,4.9,11.6,0,9.4,5.9,3.4,2,41,63.6,7.4,1018.6,1017.2,1021.1,0,6.3,10.1
184,力林,2015-02-27,4.2,3.7,5.4,0,11.5,6.3,3.6,-3.7,45,56.3,4.6,1024.7,1025.3,1027.3,0,7,5.3
184,力林,2015-02-28,7.9,4.1,9.8,13,11.5,7.3,2.4,3.6,55,75.3,8,1020.7,1019.8,1023.2,0,9,6.1
184,力林,2015-03-01,7.3,5.9,9.2,2.6,12.2,7.3,5,1.8,52,69.5,7.1,1018.8,1019,1021.3,0,7.4,8.5
184,力林,2015-03-02,7,3.4,10.1,0,6.8,4.5,2.3,-2.3,38,51.9,5.2,1017.9,1016.8,1020.4,0,3.5,8.7
184,力林,2015-03-03,8.4,6.8,10.1,1.3,17.7,9.5,2.7,4.2,57,75.6,8.3,1011.4,1010.4,1013.9,0,9.3,7.2
