일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최저 해면기압(hPa),일 최심신적설(cm),평균 지면온도(°C),지점명
2015-01-01,3.3,1.7,5.4,4.2,21.2,12.9,8.3,46.0,5.4,1022.9,1022.6,1.8,2.4,제주
2015-01-02,6.1,3.9,8.5,0.0,16.8,9.7,6.3,42.0,5.0,1023.8,1024.2,0.0,3.6,제주
2015-01-03,6.8,3.5,9.6,0.0,6.0,3.7,2.1,53.0,6.1,1021.3,1019.5,0.0,5.3,제주
2015-01-04,11.5,7.7,15.0,0.0,7.0,4.3,2.8,54.0,8.8,1016.1,1017.2,0.0,7.3,제주
2015-01-05,12.9,6.8,17.5,0.7,13.4,7.2,2.2,35.0,9.2,1013.2,1009.3,0.0,8.8,제주
2015-01-06,7.8,3.9,17.2,0.2,15.1,7.6,5.2,48.0,7.4,1014.6,1008.9,0.0,8.2,제주
2015-01-07,4.7,3.4,5.8,0.0,16.1,8.1,5.2,55.0,5.5,1020.3,1020.5,0.0,3.8,제주
2015-01-08,6.3,5.1,7.6,0.0,13.3,7.6,5.4,57.0,6.0,1024.1,1025.0,0.0,5.5,제주
2015-01-09,8.0,6.5,10.0,0.0,11.7,7.5,5.0,39.0,6.0,1024.2,1025.3,0.0,6.5,제주
2015-01-10,8.6,6.5,11.0,0.0,13.7,8.1,4.6,37.0,6.0,1022.9,1024.3,0.0,7.2,제주
2015-01-11,8.5,5.4,12.1,0.0,12.4,7.5,4.9,47.0,6.7,1023.6,1022.9,0.0,7.3,제주
2015-01-12,4.9,3.8,7.9,0.0,9.6,5.3,3.0,35.0,4.8,1031.0,1030.0,0.0,5.0,제주
2015-01-13,9.7,4.2,13.7,0.0,8.3,4.7,2.2,49.0,7.9,1029.1,1029.6,0.0,8.7,제주
2015-01-14,9.3,8.7,10.7,37.4,11.0,7.6,3.2,70.0,9.9,1022.0,1020.5,0.0,8.5,제주
2015-01-15,8.4,5.9,10.9,0.0,9.4,5.7,3.5,53.0,7.2,1020.3,1020.1,0.0,6.5,제주
2015-01-16,7.7,5.3,9.4,0.1,16.2,9.6,4.2,62.0,7.5,1020.1,1020.3,0.0,5.5,제주
2015-01-17,5.0,2.7,8.0,0.0,17.4,10.1,5.1,51.0,5.3,1026.8,1023.5,0.0,4.4,제주
2015-01-18,6.0,1.2,10.1,0.0,17.2,8.7,3.2,53.0,6.0,1022.2,1020.4,0.0,3.8,제주
2015-01-19,8.5,5.9,11.0,0.0,18.1,12.2,6.1,35.0,5.6,1022.6,1022.0,0.0,6.6,제주
2015-01-20,6.9,3.7,9.7,0.0,7.1,4.4,2.1,61.0,6.8,1023.6,1024.3,0.0,7.2,제주
2015-01-21,9.2,7.8,10.6,5.8,6.3,3.6,1.5,58.0,9.2,1017.9,1017.8,0.0,8.0,제주
2015-01-22,7.6,6.5,9.0,4.7,12.4,7.6,4.8,58.0,7.3,1016.7,1016.5,0.0,5.5,제주
2015-01-23,6.9,5.4,9.9,0.0,8.6,4.6,2.8,52.0,6.3,1020.7,1021.7,0.0,6.4,제주
2015-01-24,8.0,5.0,11.0,0.0,5.4,4.0,2.2,62.0,7.4,1023.7,1023.9,0.0,7.1,제주
2015-01-25,11.6,6.9,15.8,9.2,4.9,3.3,1.7,42.0,9.7,1020.0,1019.7,0.0,9.1,제주
2015-01-26,10.3,7.4,13.6,0.0,10.4,6.7,3.9,76.0,10.8,1017.8,1018.7,0.0,9.8,제주
2015-01-27,5.6,3.3,7.6,0.0,10.4,6.9,4.0,55.0,6.2,1022.3,1021.7,0.0,6.9,제주
2015-01-28,4.5,3.2,6.4,0.0,9.9,6.3,3.0,46.0,5.1,1024.5,1026.0,0.0,5.1,제주
2015-01-29,6.8,4.8,8.1,19.1,11.1,7.0,3.2,55.0,8.6,1021.9,1022.7,0.0,5.9,제주
2015-01-30,5.0,3.6,6.7,1.0,15.8,9.6,5.8,53.0,5.9,1023.6,1023.3,0.0,4.4,제주
2015-01-31,3.4,2.7,5.1,0.0,14.2,7.8,4.4,55.0,4.9,1029.0,1029.5,0.0,2.8,제주
2015-02-01,4.1,0.6,7.7,0.0,6.1,3.6,2.0,42.0,4.9,1029.9,1031.2,0.0,4.6,제주
2015-02-02,6.0,4.3,9.3,0.0,6.0,3.8,2.3,42.0,5.6,1028.1,1029.0,0.0,6.9,제주
2015-02-03,6.2,2.8,9.6,0.0,9.4,5.3,2.8,55.0,6.1,1026.1,1026.8,0.0,3.9,제주
2015-02-04,6.8,6.0,7.4,0.0,12.4,7.5,5.0,45.0,5.6,1021.6,1022.0,0.0,4.7,제주
2015-02-05,5.5,3.1,6.9,0.3,14.6,9.4,5.9,45.0,5.5,1022.3,1022.4,0.0,4.3,제주
2015-02-06,6.1,5.0,7.8,0.0,9.7,5.3,2.9,52.0,5.6,1024.1,1025.6,0.0,5.7,제주
2015-02-07,8.0,5.8,9.7,0.1,10.4,6.0,3.1,48.0,6.7,1019.8,1021.0,0.0,7.5,제주
2015-02-08,1.7,-0.7,8.8,0.1,19.7,11.2,7.4,51.0,4.9,1025.0,1021.2,0.1,3.1,제주
2015-02-09,1.8,-0.3,3.6,0.4,15.0,7.6,5.0,45.0,4.0,1027.0,1027.5,0.5,3.4,제주
2015-02-10,7.1,2.5,9.4,0.0,10.7,6.4,4.4,46.0,5.6,1019.6,1018.9,0.0,5.8,제주
2015-02-11,8.9,5.8,12.3,0.0,10.9,6.6,3.8,37.0,5.8,1012.8,1012.6,0.0,8.9,제주
2015-02-12,7.0,4.6,10.0,0.0,14.1,8.5,5.3,46.0,5.9,1013.5,1011.8,0.0,9.2,제주
2015-02-13,4.7,3.3,8.1,0.0,11.1,6.6,3.9,48.0,4.9,1019.2,1019.2,0.0,7.3,제주
2015-02-14,8.4,3.1,14.4,0.0,9.3,6.5,2.2,39.0,6.2,1020.3,1020.6,0.0,9.5,제주
2015-02-15,12.5,9.0,14.9,12.8,15.2,9.3,2.6,53.0,11.7,1015.2,1012.9,0.0,9.5,제주
2015-02-16,11.8,9.8,14.4,3.0,11.7,7.3,3.7,73.0,12.3,1011.5,1012.0,0.0,11.3,제주
2015-02-17,8.3,7.3,10.0,0.0,13.7,7.6,5.4,52.0,6.8,1016.8,1016.9,0.0,8.4,제주
2015-02-18,6.5,5.5,7.4,0.0,13.1,7.8,5.7,51.0,6.2,1020.6,1021.5,0.0,5.0,제주
2015-02-19,5.7,4.0,8.9,0.0,13.4,7.9,3.3,52.0,5.4,1024.3,1024.5,0.0,9.5,제주
2015-02-20,9.3,3.1,14.9,0.0,11.6,6.6,3.0,39.0,6.5,1022.3,1021.6,0.0,9.9,제주
2015-02-21,11.9,9.0,17.3,5.5,11.6,6.4,2.8,61.0,12.1,1013.6,1012.1,0.0,10.7,제주
2015-02-22,8.7,6.5,10.8,0.3,11.4,6.8,4.0,56.0,8.9,1016.7,1016.0,0.0,9.9,제주
2015-02-23,6.9,5.4,9.8,0.0,7.2,4.5,2.9,52.0,6.5,1018.3,1019.3,0.0,9.2,제주
2015-02-24,7.9,5.9,10.9,0.0,6.5,3.9,2.2,36.0,6.0,1016.7,1017.9,0.0,10.9,제주
2015-02-25,10.3,6.8,12.7,0.0,4.9,3.2,1.5,50.0,8.2,1016.4,1016.7,0.0,8.7,제주
2015-02-26,8.8,4.9,11.6,0.0,9.4,5.9,3.4,41.0,7.4,1018.6,1017.2,0.0,10.1,제주
2015-02-27,4.2,3.7,5.4,0.0,11.5,6.3,3.6,45.0,4.6,1024.7,1025.3,0.0,5.3,제주
2015-02-28,7.9,4.1,9.8,13.0,11.5,7.3,2.4,55.0,8.0,1020.7,1019.8,0.0,6.1,제주
2015-03-01,7.3,5.9,9.2,2.6,12.2,7.3,5.0,52.0,7.1,1018.8,1019.0,0.0,8.5,제주
2015-03-02,7.0,3.4,10.1,0.0,6.8,4.5,2.3,38.0,5.2,1017.9,1016.8,0.0,8.7,제주
2015-03-03,8.4,6.8,10.1,1.3,17.7,9.5,2.7,57.0,8.3,1011.4,1010.4,0.0,7.2,제주
2015-03-04,4.0,3.2,6.8,0.0,16.2,9.7,6.0,47.0,4.5,1021.3,1017.7,0.0,4.8,제주
2015-03-05,5.4,2.8,7.1,0.0,10.3,5.0,3.1,36.0,4.3,1023.2,1023.7,0.0,7.0,제주
2015-03-06,8.0,6.3,9.3,1.5,4.8,3.1,1.3,47.0,8.3,1020.4,1021.3,0.0,7.3,제주
2015-03-07,9.3,6.3,12.1,0.0,7.3,5.2,2.1,56.0,8.0,1020.3,1021.2,0.0,8.2,제주
2015-03-08,10.7,4.0,16.1,0.0,11.5,5.8,2.7,43.0,7.3,1019.1,1019.0,0.0,9.9,제주
2015-03-09,7.6,2.0,11.6,9.5,16.3,10.3,5.1,48.0,7.0,1020.3,1018.7,0.0,9.7,제주
2015-03-10,2.9,0.2,4.1,0.2,18.6,10.9,7.2,44.0,4.2,1025.6,1027.1,0.0,4.9,제주
2015-03-11,7.0,3.3,9.7,0.0,14.0,7.4,5.5,40.0,5.2,1022.5,1022.8,0.0,9.0,제주
2015-03-12,8.3,6.2,11.3,0.0,11.9,6.9,3.7,26.0,5.1,1020.0,1021.1,0.0,12.7,제주
2015-03-13,11.5,4.7,17.7,0.0,11.1,6.2,3.0,35.0,7.6,1017.2,1018.0,0.0,12.5,제주
2015-03-14,10.3,8.7,12.2,0.0,7.9,5.0,2.4,29.0,6.2,1021.4,1021.0,0.0,12.8,제주
2015-03-15,10.8,7.8,14.0,0.0,6.0,4.5,1.8,35.0,7.0,1019.7,1020.8,0.0,14.2,제주
2015-03-16,13.5,9.9,17.1,0.0,10.3,6.5,2.3,43.0,9.4,1017.5,1017.9,0.0,17.1,제주
2015-03-17,15.7,11.1,19.6,0.0,11.5,5.6,2.2,51.0,13.1,1013.7,1012.4,0.0,18.1,제주
2015-03-18,17.1,13.9,20.6,60.5,16.0,8.0,3.0,75.0,17.5,1003.9,1002.4,0.0,16.9,제주
2015-03-19,12.8,11.5,14.8,4.2,7.4,4.9,2.4,82.0,13.5,1011.1,1006.6,0.0,15.1,제주
2015-03-20,12.9,11.3,16.5,0.2,6.0,4.4,2.3,42.0,11.0,1015.7,1016.7,0.0,15.9,제주
2015-03-21,13.8,10.9,17.5,0.0,8.9,5.5,2.9,28.0,9.7,1015.5,1016.8,0.0,15.2,제주
2015-03-22,12.3,9.0,16.5,0.0,6.9,4.9,3.2,34.0,8.4,1020.3,1019.2,0.0,15.2,제주
2015-03-23,9.1,6.7,11.7,0.0,9.6,5.9,3.4,19.0,5.4,1025.8,1026.6,0.0,12.3,제주
2015-03-24,8.5,6.0,12.0,0.0,9.0,5.4,3.3,30.0,5.0,1029.7,1030.1,0.0,13.7,제주
2015-03-25,8.6,4.3,12.9,0.0,5.2,3.0,2.0,32.0,5.4,1032.4,1033.4,0.0,13.9,제주
2015-03-26,9.8,5.1,14.5,0.0,6.1,3.6,2.1,27.0,6.1,1031.1,1031.3,0.0,12.4,제주
2015-03-27,10.9,7.5,13.9,0.0,4.1,3.0,1.4,48.0,8.5,1024.5,1023.9,0.0,12.3,제주
2015-03-28,12.8,10.2,15.7,0.0,5.3,3.5,1.5,50.0,10.3,1017.3,1017.2,0.0,15.9,제주
2015-03-29,13.5,10.3,16.7,0.0,6.2,4.3,1.9,60.0,12.2,1015.6,1016.6,0.0,16.4,제주
2015-03-30,14.0,10.7,17.9,0.0,5.8,4.3,1.5,74.0,14.0,1016.5,1017.9,0.0,18.0,제주
2015-03-31,18.1,14.9,22.2,0.7,4.8,3.3,1.2,67.0,16.7,1011.5,1010.8,0.0,17.5,제주
2015-04-01,15.4,14.0,19.0,0.0,13.7,6.2,3.0,78.0,15.8,1011.4,1011.3,0.0,19.6,제주
2015-04-02,20.2,14.0,27.7,0.9,24.5,13.4,6.6,54.0,17.9,1003.7,999.4,0.0,19.1,제주
2015-04-03,12.6,10.0,22.1,7.8,18.2,9.1,4.1,74.0,12.9,1005.5,1000.3,0.0,15.7,제주
2015-04-04,14.4,10.0,17.4,10.5,16.5,9.0,4.6,76.0,14.3,1008.9,1007.6,0.0,13.8,제주
2015-04-05,13.2,12.3,14.4,3.9,9.3,4.7,2.3,88.0,14.2,1011.0,1011.3,0.0,14.8,제주
2015-04-06,12.1,10.0,13.3,36.6,11.4,7.1,2.9,70.0,13.0,1015.0,1012.7,0.0,12.6,제주
2015-04-07,10.3,8.7,12.6,0.0,9.8,6.5,2.5,59.0,9.1,1021.0,1021.4,0.0,11.5,제주
2015-04-08,11.0,8.8,14.4,0.0,10.2,6.2,3.0,59.0,9.3,1022.8,1024.0,0.0,14.0,제주
2015-04-09,12.1,9.3,14.5,0.0,10.6,7.0,3.0,55.0,9.1,1021.8,1022.5,0.0,17.1,제주
2015-04-10,12.8,10.6,15.2,0.0,6.0,4.4,2.4,60.0,10.2,1020.1,1021.0,0.0,19.2,제주
2015-04-11,13.5,9.5,17.6,0.0,11.0,6.5,2.8,28.0,9.8,1022.6,1023.8,0.0,18.2,제주
2015-04-12,13.5,11.7,18.4,15.6,12.3,6.8,3.4,65.0,13.0,1019.3,1019.7,0.0,14.6,제주
2015-04-13,12.1,8.9,14.5,15.1,11.0,6.0,3.0,76.0,12.2,1013.4,1012.8,0.0,14.4,제주
2015-04-14,10.1,7.0,14.2,2.5,9.3,5.6,3.6,45.0,8.7,1006.8,1006.9,0.0,9.2,제주
2015-04-15,15.6,10.1,20.3,0.0,12.6,7.7,4.7,27.0,9.2,1009.5,1009.9,0.0,13.7,제주
2015-04-16,17.3,13.1,24.9,0.0,13.7,9.6,3.0,23.0,8.7,1010.0,1009.6,0.0,17.5,제주
2015-04-17,14.1,10.1,18.0,0.0,9.5,6.7,2.5,14.0,6.8,1015.8,1015.6,0.0,17.2,제주
2015-04-18,17.9,13.0,24.1,27.9,11.6,5.9,2.0,33.0,13.8,1010.7,1009.5,0.0,16.7,제주
2015-04-19,18.5,15.5,23.9,10.3,13.1,6.4,2.8,62.0,17.8,1002.7,1002.6,0.0,18.1,제주
2015-04-20,12.9,12.0,15.5,2.9,9.4,5.7,3.1,91.0,14.0,1003.7,1001.4,0.0,13.9,제주
2015-04-21,14.2,12.5,17.5,0.0,5.0,3.3,2.0,48.0,12.4,1014.6,1013.2,0.0,18.1,제주
2015-04-22,15.5,11.1,21.2,0.0,11.6,8.1,3.2,15.0,7.8,1018.1,1018.5,0.0,17.3,제주
2015-04-23,15.5,11.8,19.2,0.0,5.9,3.9,1.7,37.0,11.2,1020.1,1021.6,0.0,19.1,제주
2015-04-24,17.3,13.4,22.0,0.0,9.0,6.2,2.7,23.0,9.9,1018.5,1019.5,0.0,19.3,제주
