05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일번호,일자,정류소명,정류소번호,합계,행정구역
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,하차,304,2021-01-01,(주)성안건너,7021042100,2,대구광역시 북구 검단동
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,승차,3092,2021-01-01,(주)영화건너,7111058300,1,대구광역시 달성군 구지면
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,하차,3092,2021-01-01,(주)영화건너,7111058300,1,대구광역시 달성군 구지면
0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,승차,5273,2021-01-01,(주)영화앞,7111059100,7,대구광역시 달성군 구지면
0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,승차,2966,2021-01-01,1차서한화성타운건너,7041058600,6,대구광역시 달서구 용산1동
0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,하차,2966,2021-01-01,1차서한화성타운건너,7041058600,4,대구광역시 달서구 용산1동
0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,승차,1125,2021-01-01,1차서한화성타운앞,7041047200,6,대구광역시 달서구 용산1동
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,하차,1125,2021-01-01,1차서한화성타운앞,7041047200,1,대구광역시 달서구 용산1동
4,0,4,10,1,6,12,18,16,16,42,36,62,61,72,80,113,51,0,승차,9083,2021-01-01,2.28기념중앙공원건너1,7001006900,604,대구광역시 중구 성내1동
0,4,1,5,4,5,7,17,13,17,11,13,16,10,6,1,5,1,0,하차,9083,2021-01-01,2.28기념중앙공원건너1,7001006900,136,대구광역시 중구 성내1동
0,2,0,1,2,0,2,0,5,3,5,1,6,2,0,2,5,5,0,승차,2230,2021-01-01,2.28기념중앙공원건너2,7001011700,41,대구광역시 중구 성내1동
1,0,0,1,1,1,1,4,4,2,5,1,2,3,1,1,1,0,0,하차,2230,2021-01-01,2.28기념중앙공원건너2,7001011700,29,대구광역시 중구 성내1동
2,9,6,16,16,21,42,38,41,56,85,137,189,149,149,165,227,50,1,승차,2326,2021-01-01,2.28기념중앙공원앞,7001006800,1399,대구광역시 중구 성내1동
0,2,1,5,6,10,4,11,19,15,13,9,15,9,6,7,5,0,0,하차,2326,2021-01-01,2.28기념중앙공원앞,7001006800,137,대구광역시 중구 성내1동
0,0,0,0,2,0,1,3,1,0,2,0,1,2,1,2,1,1,0,승차,59,2021-01-01,2차대자연맨션건너,7061035600,17,대구광역시 수성구 파동
0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,하차,59,2021-01-01,2차대자연맨션건너,7061035600,7,대구광역시 수성구 파동
1,5,2,6,10,3,10,4,9,8,3,14,5,7,3,2,3,0,0,승차,70,2021-01-01,2차대자연맨션앞,7061009500,95,대구광역시 수성구 파동
0,1,1,0,1,2,0,1,1,1,0,0,0,2,0,2,1,0,0,하차,70,2021-01-01,2차대자연맨션앞,7061009500,13,대구광역시 수성구 파동
4,10,16,14,26,28,16,21,37,38,24,37,28,23,12,25,13,13,0,승차,5114,2021-01-01,2차서한화성타운건너,7041003100,385,대구광역시 달서구 용산1동
0,0,0,2,0,2,1,0,2,1,1,0,1,2,1,2,3,1,0,하차,5114,2021-01-01,2차서한화성타운건너,7041003100,19,대구광역시 달서구 용산1동
2,4,5,6,9,9,11,4,13,8,15,14,19,12,15,12,12,6,0,승차,9109,2021-01-01,2차서한화성타운앞,7041003000,176,대구광역시 달서구 용산1동
0,2,1,3,1,1,2,2,2,3,2,3,2,6,8,4,5,5,1,하차,9109,2021-01-01,2차서한화성타운앞,7041003000,53,대구광역시 달서구 용산1동
0,1,0,4,1,4,5,5,3,10,15,17,6,24,15,48,36,3,0,승차,5338,2021-01-01,2호선반월당역1,7001001400,197,대구광역시 중구 성내1동
0,0,0,0,0,1,1,4,3,0,8,6,3,6,2,5,0,1,0,하차,5338,2021-01-01,2호선반월당역1,7001001400,40,대구광역시 중구 성내1동
0,0,3,1,3,2,8,2,3,16,6,10,3,9,12,12,14,12,0,승차,2157,2021-01-01,2호선반월당역2,7001012300,116,대구광역시 중구 성내1동
0,2,1,0,2,2,2,0,3,1,2,15,2,4,1,2,1,2,0,하차,2157,2021-01-01,2호선반월당역2,7001012300,42,대구광역시 중구 성내1동
0,1,1,0,3,4,3,6,3,3,0,2,4,0,0,0,1,1,0,승차,243,2021-01-01,CBS방송국건너,7021023000,32,대구광역시 북구 침산2동
0,0,0,1,2,1,0,4,1,1,0,1,0,1,1,0,0,0,0,하차,243,2021-01-01,CBS방송국건너,7021023000,13,대구광역시 북구 침산2동
0,0,0,0,0,0,1,4,1,2,2,1,5,2,2,0,1,2,0,승차,5041,2021-01-01,CBS방송국앞,7021023100,23,대구광역시 북구 침산2동
1,1,0,0,1,0,1,2,0,0,1,2,1,0,0,1,0,0,0,하차,5041,2021-01-01,CBS방송국앞,7021023100,11,대구광역시 북구 침산2동
2,5,7,5,11,18,28,40,50,64,83,100,119,111,118,132,192,52,4,승차,2239,2021-01-01,CGV대구한일건너,7001006600,1141,대구광역시 중구 성내1동
1,0,5,7,5,6,9,8,15,25,17,21,16,9,8,5,9,6,0,하차,2239,2021-01-01,CGV대구한일건너,7001006600,172,대구광역시 중구 성내1동
0,0,1,3,4,2,7,10,9,11,31,22,39,26,32,23,57,9,0,승차,2238,2021-01-01,CGV대구한일앞,7001006700,286,대구광역시 중구 성내1동
0,1,0,0,1,2,2,3,0,3,1,6,5,1,1,1,1,0,0,하차,2238,2021-01-01,CGV대구한일앞,7001006700,28,대구광역시 중구 성내1동
0,0,1,0,2,1,7,1,2,1,1,2,6,0,0,1,0,1,0,승차,5151,2021-01-01,CMB대구방송,7011004600,26,대구광역시 동구 신천4동
0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,하차,5151,2021-01-01,CMB대구방송,7011004600,5,대구광역시 동구 신천4동
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,승차,135,2021-01-01,DGB대구은행파크남편건너,7021013900,3,대구광역시 북구 고성동
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,하차,135,2021-01-01,DGB대구은행파크남편건너,7021013900,3,대구광역시 북구 고성동
1,1,0,0,0,1,0,0,0,1,1,0,2,1,1,1,2,1,0,승차,2201,2021-01-01,DGB대구은행파크남편앞,7021014000,13,대구광역시 북구 고성동
0,1,1,0,0,5,3,4,2,1,2,1,0,1,1,3,1,0,0,승차,5132,2021-01-01,DGB대구은행파크동편건너,7021012800,26,대구광역시 북구 칠성동
0,0,1,0,2,2,1,1,6,5,8,4,6,4,2,3,4,2,0,하차,5132,2021-01-01,DGB대구은행파크동편건너,7021012800,51,대구광역시 북구 칠성동
0,1,1,0,2,2,0,3,5,3,8,4,4,2,0,0,5,2,0,승차,2156,2021-01-01,DGB대구은행파크동편앞,7021012900,42,대구광역시 북구 고성동
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,하차,2156,2021-01-01,DGB대구은행파크동편앞,7021012900,3,대구광역시 북구 고성동
0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,승차,3854,2021-01-01,e-편한세상월배건너,7041059100,7,대구광역시 달서구 월성1동
0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,3854,2021-01-01,e-편한세상월배건너,7041059100,3,대구광역시 달서구 월성1동
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,승차,3855,2021-01-01,e-편한세상월배앞,7041059000,2,대구광역시 달서구 월성1동
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,하차,3855,2021-01-01,e-편한세상월배앞,7041059000,1,대구광역시 달서구 월성1동
1,5,6,3,2,6,7,14,5,11,9,8,6,3,10,1,2,1,0,승차,5308,2021-01-01,e편한세상대구금호건너,7021056500,100,대구광역시 북구 관문동
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,승차,5307,2021-01-01,e편한세상대구금호앞,7021056600,3,대구광역시 북구 관문동
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,하차,5307,2021-01-01,e편한세상대구금호앞,7021056600,4,대구광역시 북구 관문동
1,1,0,0,1,5,2,0,2,1,0,0,0,1,0,1,4,0,0,승차,1961,2021-01-01,K-2입구,7011012200,19,대구광역시 동구 동촌동
0,1,0,1,2,0,0,0,4,1,0,0,1,0,2,1,0,0,0,하차,1961,2021-01-01,K-2입구,7011012200,13,대구광역시 동구 동촌동
1,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,승차,3597,2021-01-01,K2관사입구(종점),7011035800,7,대구광역시 동구 해안동
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,하차,3597,2021-01-01,K2관사입구(종점),7011035800,1,대구광역시 동구 해안동
0,1,3,7,8,7,7,12,8,7,7,9,9,15,4,2,6,7,0,승차,2175,2021-01-01,KT남대구지사건너1,7051003500,119,대구광역시 남구 대명10동
0,1,1,1,4,0,2,6,1,5,1,6,6,3,3,2,1,2,1,하차,2175,2021-01-01,KT남대구지사건너1,7051003500,46,대구광역시 남구 대명10동
0,5,4,1,6,3,4,7,2,5,1,6,4,3,0,1,1,0,0,승차,1630,2021-01-01,KT남대구지사건너2,7051003000,53,대구광역시 남구 대명6동
0,0,2,1,0,0,0,1,2,0,1,2,0,0,2,2,1,1,0,하차,1630,2021-01-01,KT남대구지사건너2,7051003000,15,대구광역시 남구 대명6동
3,11,10,8,9,9,19,10,16,20,24,22,18,13,10,9,14,9,1,승차,2180,2021-01-01,KT남대구지사앞1,7051003400,235,대구광역시 남구 대명9동
1,1,5,3,3,4,2,8,8,13,7,9,10,8,2,8,3,0,1,하차,2180,2021-01-01,KT남대구지사앞1,7051003400,96,대구광역시 남구 대명9동
0,2,0,2,2,7,1,3,1,1,1,4,2,2,0,2,0,0,0,승차,5070,2021-01-01,KT남대구지사앞2,7051002900,30,대구광역시 남구 대명9동
0,5,3,2,0,3,1,3,1,6,5,6,2,0,0,0,1,2,0,하차,5070,2021-01-01,KT남대구지사앞2,7051002900,40,대구광역시 남구 대명9동
