05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,00304,7021042100,(주)성안건너,2019-01-01,2,대구광역시 북구 검단동
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,03092,7111058300,(주)영화건너,2019-01-01,1,대구광역시 달성군 구지면
0,0,1,0,0,0,1,1,0,6,0,0,2,0,0,0,0,0,0,승차,05273,7111059100,(주)영화앞,2019-01-01,11,대구광역시 달성군 구지면
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,승차,02966,7041058600,1차서한화성타운건너,2019-01-01,3,대구광역시 달서구 용산1동
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,하차,02966,7041058600,1차서한화성타운건너,2019-01-01,2,대구광역시 달서구 용산1동
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,승차,01125,7041047200,1차서한화성타운앞,2019-01-01,4,대구광역시 달서구 용산1동
65,69,39,31,12,10,18,33,8,37,51,87,93,102,102,75,120,170,12,승차,09083,7001006900,2.28기념중앙공원건너1,2019-01-01,1134,대구광역시 중구 성내1동
1,2,6,8,9,10,8,30,21,24,17,28,15,13,6,15,15,9,0,하차,09083,7001006900,2.28기념중앙공원건너1,2019-01-01,237,대구광역시 중구 성내1동
2,6,1,2,2,1,5,4,3,2,5,7,13,10,18,7,9,2,0,승차,02230,7001011700,2.28기념중앙공원건너2,2019-01-01,99,대구광역시 중구 성내1동
0,0,2,0,4,3,5,3,11,12,13,5,5,0,4,4,6,1,0,하차,02230,7001011700,2.28기념중앙공원건너2,2019-01-01,78,대구광역시 중구 성내1동
