05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,00304,7021042100,(주)성안건너,2019-01-01,2,대구광역시 북구 검단동
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,03092,7111058300,(주)영화건너,2019-01-01,1,대구광역시 달성군 구지면
0,0,1,0,0,0,1,1,0,6,0,0,2,0,0,0,0,0,0,승차,05273,7111059100,(주)영화앞,2019-01-01,11,대구광역시 달성군 구지면
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,승차,02966,7041058600,1차서한화성타운건너,2019-01-01,3,대구광역시 달서구 용산1동
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,하차,02966,7041058600,1차서한화성타운건너,2019-01-01,2,대구광역시 달서구 용산1동
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,승차,01125,7041047200,1차서한화성타운앞,2019-01-01,4,대구광역시 달서구 용산1동
65,69,39,31,12,10,18,33,8,37,51,87,93,102,102,75,120,170,12,승차,09083,7001006900,2.28기념중앙공원건너1,2019-01-01,1134,대구광역시 중구 성내1동
1,2,6,8,9,10,8,30,21,24,17,28,15,13,6,15,15,9,0,하차,09083,7001006900,2.28기념중앙공원건너1,2019-01-01,237,대구광역시 중구 성내1동
2,6,1,2,2,1,5,4,3,2,5,7,13,10,18,7,9,2,0,승차,02230,7001011700,2.28기념중앙공원건너2,2019-01-01,99,대구광역시 중구 성내1동
0,0,2,0,4,3,5,3,11,12,13,5,5,0,4,4,6,1,0,하차,02230,7001011700,2.28기념중앙공원건너2,2019-01-01,78,대구광역시 중구 성내1동
177,140,55,40,35,42,38,60,101,118,137,197,289,289,330,299,254,311,14,승차,02326,7001006800,2.28기념중앙공원앞,2019-01-01,2926,대구광역시 중구 성내1동
2,4,8,4,5,14,16,17,25,21,25,30,24,28,17,13,1,5,0,하차,02326,7001006800,2.28기념중앙공원앞,2019-01-01,259,대구광역시 중구 성내1동
0,1,0,3,1,4,3,0,2,2,1,0,3,2,2,3,2,0,1,승차,00059,7061035600,2차대자연맨션건너,2019-01-01,30,대구광역시 수성구 파동
0,2,0,0,1,2,1,2,0,1,1,0,0,0,1,1,0,0,0,하차,00059,7061035600,2차대자연맨션건너,2019-01-01,12,대구광역시 수성구 파동
2,3,0,4,13,4,7,7,15,8,9,13,6,7,4,3,4,3,0,승차,00070,7061009500,2차대자연맨션앞,2019-01-01,112,대구광역시 수성구 파동
0,0,0,0,2,1,3,4,0,3,2,3,1,3,0,0,0,0,0,하차,00070,7061009500,2차대자연맨션앞,2019-01-01,22,대구광역시 수성구 파동
4,16,12,21,37,39,23,44,54,69,56,42,51,42,43,19,17,17,3,승차,05114,7041003100,2차서한화성타운건너,2019-01-01,609,대구광역시 달서구 용산1동
1,1,0,1,2,1,2,4,1,0,1,2,2,5,3,2,3,2,0,하차,05114,7041003100,2차서한화성타운건너,2019-01-01,33,대구광역시 달서구 용산1동
6,10,7,9,8,8,12,18,19,21,14,9,12,18,15,20,19,11,5,승차,09109,7041003000,2차서한화성타운앞,2019-01-01,241,대구광역시 달서구 용산1동
0,6,2,1,0,0,2,7,4,5,6,6,3,7,3,4,5,10,0,하차,09109,7041003000,2차서한화성타운앞,2019-01-01,71,대구광역시 달서구 용산1동
17,16,5,2,2,3,7,4,10,8,15,31,36,42,36,25,46,42,0,승차,05338,7001001400,2호선반월당역1,2019-01-01,347,대구광역시 중구 성내1동
1,0,0,2,2,5,7,5,2,14,5,9,7,4,2,3,3,2,1,하차,05338,7001001400,2호선반월당역1,2019-01-01,74,대구광역시 중구 성내1동
3,8,5,1,1,3,5,11,12,10,11,13,18,15,15,18,16,8,1,승차,02157,7001012300,2호선반월당역2,2019-01-01,174,대구광역시 중구 성내1동
1,4,2,3,5,2,1,10,3,1,6,4,4,2,2,4,5,0,0,하차,02157,7001012300,2호선반월당역2,2019-01-01,59,대구광역시 중구 성내1동
2,4,3,5,7,3,11,12,2,11,10,7,7,5,3,2,4,6,0,승차,00243,7021023000,CBS방송국건너,2019-01-01,104,대구광역시 북구 침산2동
0,1,1,1,4,2,4,8,2,4,2,0,2,1,1,4,1,2,0,하차,00243,7021023000,CBS방송국건너,2019-01-01,40,대구광역시 북구 침산2동
1,2,0,2,5,4,4,1,4,2,1,3,6,1,2,3,1,5,0,승차,05041,7021023100,CBS방송국앞,2019-01-01,47,대구광역시 북구 침산2동
0,0,1,1,2,0,1,0,4,1,0,1,2,5,1,2,1,1,0,하차,05041,7021023100,CBS방송국앞,2019-01-01,23,대구광역시 북구 침산2동
60,121,60,27,29,23,44,51,91,109,188,207,274,261,246,259,308,271,31,승차,02239,7001006600,CGV대구한일건너,2019-01-01,2660,대구광역시 중구 성내1동
0,8,6,4,7,8,17,28,44,46,48,30,45,18,24,18,10,10,1,하차,02239,7001006600,CGV대구한일건너,2019-01-01,372,대구광역시 중구 성내1동
10,14,7,5,7,13,9,13,17,32,66,109,88,60,88,65,86,51,6,승차,02238,7001006700,CGV대구한일앞,2019-01-01,746,대구광역시 중구 성내1동
0,0,0,1,1,3,3,5,9,3,4,6,5,3,1,3,1,1,2,하차,02238,7001006700,CGV대구한일앞,2019-01-01,51,대구광역시 중구 성내1동
0,0,2,1,0,0,1,1,1,0,1,0,0,2,1,1,0,1,0,승차,00135,7021013900,DGB대구은행파크남편건너,2019-01-01,12,대구광역시 북구 고성동
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,하차,00135,7021013900,DGB대구은행파크남편건너,2019-01-01,3,대구광역시 북구 고성동
0,0,1,1,1,0,1,1,2,6,1,2,1,0,0,0,1,0,0,승차,02201,7021014000,DGB대구은행파크남편앞,2019-01-01,18,대구광역시 북구 고성동
0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,하차,02201,7021014000,DGB대구은행파크남편앞,2019-01-01,6,대구광역시 북구 고성동
0,2,1,2,0,1,2,4,1,1,2,1,2,1,11,0,8,2,0,승차,05132,7021012800,DGB대구은행파크동편건너,2019-01-01,41,대구광역시 북구 칠성동
0,0,0,0,2,5,2,2,5,5,8,1,14,10,4,5,3,2,0,하차,05132,7021012800,DGB대구은행파크동편건너,2019-01-01,68,대구광역시 북구 칠성동
0,0,0,1,1,2,2,1,0,3,7,13,1,3,3,0,4,1,0,승차,02156,7021012900,DGB대구은행파크동편앞,2019-01-01,42,대구광역시 북구 고성동
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,하차,02156,7021012900,DGB대구은행파크동편앞,2019-01-01,3,대구광역시 북구 고성동
1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,승차,03854,7041059100,e-편한세상월배건너,2019-01-01,8,대구광역시 달서구 월성1동
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,승차,03855,7041059000,e-편한세상월배앞,2019-01-01,1,대구광역시 달서구 월성1동
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,하차,03855,7041059000,e-편한세상월배앞,2019-01-01,1,대구광역시 달서구 월성1동
4,4,8,8,20,17,24,17,8,7,17,4,16,9,4,7,3,0,0,승차,05308,7021056500,e편한세상대구금호건너,2019-01-01,177,대구광역시 북구 관문동
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,05308,7021056500,e편한세상대구금호건너,2019-01-01,5,대구광역시 북구 관문동
0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,승차,05307,7021056600,e편한세상대구금호앞,2019-01-01,6,대구광역시 북구 관문동
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,하차,05307,7021056600,e편한세상대구금호앞,2019-01-01,2,대구광역시 북구 관문동
1,1,4,2,1,5,2,3,2,1,3,13,8,5,1,2,1,2,0,승차,01961,7011012200,K-2입구,2019-01-01,57,대구광역시 동구 동촌동
0,0,1,1,2,0,2,0,0,0,2,3,1,0,0,0,1,0,2,하차,01961,7011012200,K-2입구,2019-01-01,15,대구광역시 동구 동촌동
0,0,0,1,3,2,0,1,0,6,0,2,2,0,1,0,0,0,0,승차,03597,7011035800,K2관사입구(종점),2019-01-01,18,대구광역시 동구 해안동
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,하차,03597,7011035800,K2관사입구(종점),2019-01-01,1,대구광역시 동구 해안동
0,6,5,9,18,8,12,14,9,9,11,20,12,13,7,6,12,12,1,승차,02175,7051003500,KT남대구지사건너1,2019-01-01,184,대구광역시 남구 대명10동
