cctvUid,cctvNm,lat,lon,cctvCount
CTV0000230,범어1동373-41_100169,35.854668,128.627625,9042
CTV0000170,범어1동374-4_100106,35.854556,128.628991,7980
CTV0000228,범어1동377-59_100167,35.855675,128.627251,5213
CTV0000229,범어1동377-65_100168,35.856171,128.628524,1017
CTV0000171,범어1동378-3_100107,35.855629,128.628129,1660
CTV0000109,범어1동385-10_100022,35.856022,128.629655,3055
CTV0000385,범어1동385-48_100627,35.855467,128.6285,1221
CTV0000517,범어1동391-7_100803,35.856989,128.629293,21744
CTV0000518,범어1동391-7_서쪽_100804,35.856989,128.629293,21479
CTV0000227,범어1동560-1_100166,35.858578,128.623949,39319
CTV0000223,범어1동588-20_100162,35.857259,128.624828,5538
CTV0000805,범어1동592-7_101155,35.856157,128.626949,6652
CTV0000806,범어1동592-7_서쪽_101156,35.856157,128.626949,4596
CTV0001358,범어1동628_100582,35.851395,128.628797,10368
CTV0000591,범어1동646-1_100877,35.850213,128.629047,29412
CTV0000592,범어1동646-1_서쪽_100878,35.850213,128.629047,5496
CTV0001357,범어1동665-4_100581,35.850361,128.627004,5952
CTV0000247,범어1동678-3_100188,35.848769,128.628283,12175
CTV0001356,범어1동678-6_100580,35.849207,128.626966,2200
CTV0000245,범어1동678-7_100185,35.849466,128.626914,2212
CTV0000907,범어1동685-15_101257,35.848622,128.62693,3969
CTV0000909,범어1동685-15_남쪽_101259,35.848622,128.62693,1730
CTV0000908,범어1동685-15_동쪽_101258,35.848622,128.62693,868
CTV0000809,범어1동687-2_101159,35.849331,128.62582,4340
CTV0000810,범어1동687-2_남쪽_101160,35.849331,128.62582,7645
CTV0000172,범어1동728_100108,35.851411,128.624204,11358
CTV0000729,범어1동775-1_101016,35.854418,128.624341,9119
CTV0000730,범어1동775-1_북쪽_101017,35.854418,128.624341,1880
CTV0000224,범어1동779-13_100163,35.855081,128.623907,7932
CTV0001277,범어1동782-2(마리아유치원)_100417,35.854855,128.623004,17598
CTV0001336,범어1동783-4_100532,35.85782,128.622534,15864
CTV0001306,범어1동784-24_100500,35.857169,128.623011,6850
CTV0001390,범어1동787-6(동도초교정문)_100735,35.85615,128.62446,8086
CTV0000237,범어1동787-6_동쪽_100176,35.85615,128.62446,3034
CTV0001372,범어1동790-18_100596,35.857278,128.623919,22826
CTV0000314,범어1동791-1_100374,35.858022,128.6245,11426
CTV0001269,범어1동798-12(소암유치원)_100409,35.857292,128.621234,13444
CTV0001065,범어1동800-39_101417,35.85701522,128.622422,15524
CTV0001066,범어1동800-39_남서쪽_101418,35.85701522,128.622422,4114
CTV0000225,범어1동804-46_100164,35.857883,128.621307,13242
CTV0000233,범어1동805-13_100172,35.853351,128.621787,9407
CTV0000945,범어1동805-159_101295,35.851127,128.622608,12872
CTV0000231,범어1동805-32_서쪽_100170,35.852128,128.623567,1086
CTV0000423,범어1동806-106_100665,35.852812,128.621299,7475
CTV0000232,범어1동806-31_100171,35.851196,128.621486,8479
CTV0000226,범어1동881-7_100165,35.858824,128.622388,23499
CTV0000244,범어1동899-22_100184,35.853377,128.627634,11631
CTV0000947,범어1동899-34_동쪽_101297,35.854063,128.627319,1127
CTV0000946,범어1동899-34_서쪽_101296,35.854063,128.627319,1170
CTV0000807,범어1동906-1_101157,35.852257,128.627576,11221
CTV0000808,범어1동906-1_북서쪽_101158,35.852257,128.627576,4242
CTV0000519,범어1동산169-1_100805,35.852755,128.629027,3351
CTV0000140,범어2동128-18_100062,35.866344,128.63133,3006
CTV0001291,범어2동135-12_100451,35.86599,128.631866,5833
CTV0000187,범어2동136-2_100123,35.865725,128.633251,3200
CTV0000772,범어2동136-44_동쪽_101059,35.865138,128.633662,2904
CTV0000477,범어2동141-1_100719,35.864232,128.634272,3766
CTV0000478,범어2동141-27_100720,35.863565,128.634807,3516
CTV0001281,범어2동142-33(범어유치원)_100421,35.863257,128.6341,3593
CTV0001302,범어2동144-6_100496,35.863608,128.635449,7749
