cctvUid,cctvNm,lat,lon,cctvCount,boongi
CTV0000810,범어1동687-2_남쪽_101160,35.849331,128.62582,4,1
CTV0000231,범어1동805-32_서쪽_100170,35.852128,128.623567,89,1
CTV0000951,범어2동397-44_북쪽_101301,35.863691,128.636404,95,1
CTV0000325,범어2동398-14_100385,35.862523,128.636835,17,1
CTV0000326,범어2동401-13_100386,35.862253,128.637517,29,1
CTV0000388,범어3동28-8_100630,35.863163,128.624724,22,1
CTV0000817,범어3동471-11_동쪽_101167,35.866116,128.622701,2,1
CTV0000590,범어4동77-61_북동쪽_100876,35.854687,128.642353,38,1
CTV0001170,범어4동산104-10_100191,35.851795,128.640242,21,1
CTV0001131,범어2동143-30_101488,35.86088,128.633274,309,1
CTV0000935,만촌1동1221-13_북쪽삼거리_101285,35.873909,128.654545,42,1
CTV0000936,만촌1동1221-13_북쪽삼거리_북서쪽_101286,35.873909,128.654545,47,1
CTV0000937,만촌1동1221-13_북쪽삼거리_남서쪽_101287,35.873909,128.654545,47,1
CTV0000962,만촌1동1325-41_101312,35.871291,128.635775,214,1
CTV0000963,만촌1동1325-41_서쪽_101313,35.871291,128.635775,46,1
CTV0000261,만촌1동1328-8_100269,35.872337,128.638618,149,1
CTV0000528,만촌1동1329-62_100814,35.872496,128.64057,440,1
CTV0000529,만촌1동1329-62_북쪽_100815,35.872496,128.64057,36,1
CTV0000509,만촌1동1330-1_100773,35.873724,128.640481,305,1
CTV0001282,만촌1동1348(보노유치원)_100422,35.868287,128.635024,71,1
CTV0001248,만촌1동1425(중앙초교동편)_100319,35.870296,128.641057,80,1
CTV0001247,만촌1동1425(중앙초교정문옆)_100318,35.86934,128.640628,98,1
CTV0001471,만촌1동1425_서쪽_101423,35.86934,128.640628,171,1
CTV0000599,만촌1동189-3_100885,35.877539,128.649103,70,1
CTV0000600,만촌1동189-3_동쪽_100886,35.877539,128.649103,130,1
CTV0000789,만촌1동190-3_101134,35.877321,128.648279,59,1
CTV0000790,만촌1동190-3_남쪽_101135,35.877269,128.647881,76,1
CTV0000793,만촌1동190-6_101138,35.87637,128.646021,124,1
CTV0000794,만촌1동190-6_북쪽(지하보도)_101139,35.87637,128.646021,135,1
CTV0000801,만촌1동198_101146,35.87679,128.648285,48,1
CTV0000802,만촌1동198_남서쪽(경로당)_101147,35.876729,128.648419,37,1
CTV0000797,만촌1동214_101142,35.875578,128.647872,49,1
CTV0000798,만촌1동214_남서쪽_101143,35.875578,128.647872,39,1
CTV0000222,만촌1동233_100161,35.876562,128.649031,102,1
CTV0001394,만촌1동251북쪽삼거리(동문초교)_100739,35.87617,128.650712,57,1
CTV0001218,만촌1동262(동문초교)_100265,35.874105,128.651793,259,1
CTV0000393,만촌1동342-14_남쪽사거리_100635,35.874313,128.649655,166,1
CTV0000966,만촌1동342-39_101316,35.874175,128.65071,225,1
CTV0001395,만촌1동342-41_100740,35.874473,128.651185,41,1
CTV0001217,만촌1동348-17(동문초)_100264,35.875209,128.649894,162,1
CTV0000795,만촌1동349-2_101140,35.875216,128.649188,69,1
CTV0000796,만촌1동349-2_남쪽_101141,35.875216,128.649188,39,1
CTV0000944,만촌1동350-1_101294,35.875846,128.649034,266,1
CTV0000372,만촌1동360_100609,35.874822,128.648258,59,1
CTV0000799,만촌1동375-8_101144,35.875686,128.646715,80,1
CTV0000800,만촌1동375-8_남동쪽_101145,35.875686,128.646715,39,1
CTV0000356,만촌1동383-1_100545,35.876378,128.647003,30,1
CTV0000943,만촌1동383-2_101293,35.87622,128.647127,46,1
CTV0000791,만촌1동389-9_101136,35.877077,128.646692,100,1
