cctvUid,cctvNm,lat,lon,cctvCount
CTV0000002,만촌1동656-3(샛별어린이공원)_100235,35.870561,128.643649,16181
CTV0000003,만촌3동852(국화어린이공원)_100236,35.857172,128.647862,21849
CTV0000004,만촌3동862(진달래어린이공원)_100237,35.853046,128.651057,7138
CTV0000005,만촌3동862(진달래어린이공원)_100238,35.852868,128.65131,13683
CTV0000006,지산1동1280(수동어린이공원)_100239,35.825714,128.637199,20711
CTV0000007,황금2동721(수목어린이공원)_100240,35.849281,128.617939,10179
CTV0000008,중동12(무궁화어린이공원)_100241,35.850822,128.615781,13003
CTV0000009,상동400-1(덕화어린이공원)_100242,35.832278,128.615686,13722
CTV0000010,상동44(상동소공원)_100243,35.830122,128.612516,4551
CTV0000011,두산동141(아랫마을어린이공원)_100244,35.834078,128.619898,9793
CTV0000012,범물1동1283-1(용지어린이공원)_100245,35.82098,128.646245,10818
CTV0000013,범물2동1367(관계지어린이공원)_100246,35.814338,128.640121,12689
CTV0000014,범물2동1382-1(삼주어린이공원)_100247,35.815979,128.642853,5319
CTV0000015,매호동1333(나래어린이공원)_100248,35.843101,128.699911,5213
CTV0000016,매호동1329(삼각어린이공원)_100278,35.843333,128.707543,17965
CTV0000017,시지동487(달무리어린이공원)_100279,35.840626,128.692804,24475
CTV0000018,두산동155(끝동어린이공원)_100280,35.832014,128.618023,8544
CTV0000019,범물2동1348(중앙어린이공원)_100281,35.817823,128.63881,8811
CTV0000020,범물2동1376(범물어린이공원)_100282,35.817173,128.644317,7498
CTV0000021,지산2동1272-1(에덴어린이공원)_100283,35.821234,128.63264,19619
CTV0000022,지산2동1247(청산어린이공원)_100284,35.823568,128.627441,1934
CTV0000023,지산1동1265(세각단어린이공원)_100285,35.827288,128.632468,6604
CTV0000024,지산1동1287(지봉어린이공원)_100286,35.823085,128.63979,16371
CTV0000025,상동343(들안길어린이공원)_100287,35.834128,128.613484,17002
CTV0000026,만촌2동991-8(무열어린이공원)_100288,35.865537,128.647839,11057
CTV0000027,중동127(상록수어린이공원)_100289,35.843976,128.615618,3528
CTV0000028,두산동741-7(말뫼어린이공원)_100290,35.825177,128.626316,19727
CTV0000029,신매동579-1(천마어린이공원)_100291,35.836964,128.706285,50967
CTV0000030,범어2동416-9(계림어린이공원)_100427,35.863424,128.63793,3941
CTV0000031,만촌2동1006-2(청구어린이공원)_100428,35.863207,128.646079,7392
CTV0000032,만촌3동874-2(봉선화어린이공원)_100429,35.850651,128.649468,4200
CTV0000033,수성3가동216(수성어린이공원)_100430,35.8526,128.618832,15154
CTV0000034,수성4가동1009-2(호돌이어린이공원)_100431,35.860999,128.620127,10388
CTV0000035,중동171(중동어린이공원)_100432,35.841472,128.615408,10028
CTV0000036,상동17(희망어린이공원)_100433,35.839582,128.615274,16266
CTV0000037,상동54(청소년어린이공원)_100434,35.83666,128.613446,13674
CTV0000038,두산동41(샛터어린이공원)_100435,35.837888,128.620834,21088
CTV0000039,지산2동1184-5(현대어린이공원)_100436,35.822425,128.625102,2365
CTV0000040,범물1동1279-3(보성어린이공원)_100437,35.821105,128.643107,5478
CTV0000041,범물1동1302(배수지어린이공원)_100438,35.816112,128.648212,986
CTV0000042,신매동580-2(청솔어린이공원)_100439,35.835958,128.705977,40754
CTV0000043,신매동594-2(동서어린이공원)_100440,35.83402,128.705484,29018
CTV0000044,황금2동750(동신어린이공원)_100441,35.847464,128.619161,6795
CTV0000045,지산2동1211-2(거성어린이공원)_100442,35.819623,128.635608,2234
CTV0000046,만촌2동1017-2(동원어린이공원)_100443,35.862045,128.643286,14067
CTV0000047,만촌2동1023-11(광명어린이공원)_100444,35.860035,128.641518,10577
CTV0000048,신매동595-2(두성어린이공원)_100465,35.833128,128.705107,7185
CTV0000049,신매동598(두리어린이공원)_100466,35.831414,128.703674,5488
CTV0000050,신매동586(신기어린이공원)_100467,35.834047,128.708212,17506
CTV0000051,매호동1330-2(누리어린이공원)_100468,35.841607,128.705668,31943
CTV0000052,매호동1330-2(누리어린이공원)_100469,35.841194,128.705496,43658
CTV0000053,시지동137-5(고산어린이공원)_100470,35.84447,128.694942,20927
CTV0000054,시지동509-1(전원어린이공원)_100471,35.840842,128.697696,16488
CTV0000055,시지동498-1(미진어린이공원)_100472,35.837327,128.696216,16358
CTV0000056,만촌3동870-13(만촌어린이공원)_100473,35.850629,128.652999,10573
CTV0000057,범어3동1575(범어재어린이공원)_100475,35.865454,128.620512,16597
CTV0000058,황금2동802(황금어린이공원)_100476,35.845621,128.619206,17021
CTV0000059,황금2동882-2(대경어린이공원)_100477,35.841281,128.618284,22919
CTV0000060,지산1동1013_1(지산어린이공원)_100478,35.835133,128.62709,26605
CTV0000061,지산1동1013_2(지산어린이공원)_100479,35.834982,128.627536,42587
CTV0000062,파동110-1(파동어린이공원)_100480,35.820963,128.614145,8490
CTV0000063,지산2동1256(화성어린이공원)_100481,35.825306,128.629555,3353
CTV0000064,지산1동1280(수동어린이공원)_100482,35.825316,128.637108,11550
CTV0000065,지산1동1293(무학어린이공원)_100483,35.825087,128.639719,27008
CTV0000066,범물1동1288(마산어린이공원)_100484,35.818865,128.648519,12208
CTV0000067,수성3가동130-2(새마을어린이공원)_100485,35.857116,128.620276,11192
CTV0000068,두산동31-7(들안길꿈나무어린이공원)_100486,35.838251,128.618768,8643
CTV0000069,황금2동721(수목어린이공원)_100536,35.849198,128.618443,7157
CTV0000070,두산동141(아랫마을공원)_100537,35.834181,128.619885,18739
CTV0000071,범물2동1348(중앙어린이공원)_100538,35.817948,128.638482,4756
CTV0000072,범물2동1367(관계지어린이공원)_100539,35.814559,128.639549,3021
CTV0000073,지산1동1287(지봉어린이공원)_100540,35.822921,128.639397,30935
CTV0000074,지산2동1272-1(에덴어린이공원)_100541,35.821773,128.632377,15948
CTV0000075,시지동498-1(미진어린이공원)_100542,35.837131,128.696746,10518
CTV0000076,지산2동1274(지산근린공원)_100559,35.821494,128.637477,37204
CTV0000077,범물2동1328-2(범물근린공원)_100560,35.817938,128.642939,16246
CTV0000078,신매동590_100561,35.819923,128.644637,992
CTV0000079,시지동501(노변근린공원)_100562,35.838735,128.699241,21040
CTV0000080,매호동1321(매호공원)_100563,35.844675,128.70331,634
CTV0000081,두산동149-11(맑음소공원)_100605,35.833725,128.618112,27662
CTV0000082,사월동646(사월어린이공원)_100606,35.837649,128.72167,26690
CTV0000083,범물1동964_700009,35.814136,128.6635,9905
CTV0000084,황금1동38-1(두리봉터널방향)_700007,35.841763,128.6423,492
CTV0000085,황금1동38-1(황금네거리방향)_700008,35.840737,128.635243,1090
CTV0000086,가천동산11-3(천을산-정상부)_600007,35.851083,128.694017,110
CTV0000087,욱수동산305(감태봉)_600001,35.793044,128.677286,824
CTV0000088,범물1동1202(대덕지)_600006,35.81555,128.652672,1139
CTV0000089,연호동산7(연호관망대)_600004,35.8353,128.673406,273
CTV0000091,지산1동산12-1(조일골)_600002,35.835347,128.646047,690
CTV0000092,파동산18(법이산)_600005,35.816125,128.616278,323
CTV0000093,수성4가동1190-3_100005,35.86338,128.612365,14958
CTV0000094,범어2동426-29_100006,35.865858,128.636823,6568
CTV0000095,만촌3동848-27_100007,35.857019,128.646464,33032
CTV0000096,중동500-18_100008,35.84464,128.610858,16893
CTV0000097,두산동154-14_100009,35.833119,128.61783,9182
CTV0000098,고모동1-2_100010,35.870359,128.666948,2958
CTV0000099,수성1가동649-50_100011,35.850439,128.609644,10009
CTV0000100,만촌1동448-5_100012,35.872285,128.642254,9979
CTV0000101,만촌2동1023-17_100013,35.859948,128.642065,20478
CTV0000102,신매동606-9_100014,35.830373,128.706193,20168
CTV0000103,범어4동208-6_100016,35.857892,128.635842,40792
CTV0000104,황금2동879_100017,35.841894,128.618827,4927
CTV0000105,지산1동994_100018,35.835398,128.624899,38210
CTV0000106,범물2동1350-14_100019,35.818193,128.638595,4787
CTV0000107,중동165-3_100020,35.841659,128.615718,8275
CTV0000108,상동410-7_100021,35.830225,128.614174,21424
CTV0000109,범어1동385-10_100022,35.856022,128.629655,8744
CTV0000110,범어2동235-39_100023,35.860815,128.639623,4921
CTV0000111,범어2동224-15_100024,35.859747,128.63711,25736
CTV0000112,수성2가동73-1_100026,35.853717,128.615706,19239
CTV0000113,만촌1동415-9_100027,35.868111,128.633846,12141
CTV0000114,만촌2동1006-11_100028,35.863288,128.645718,1642
CTV0000115,만촌1동677-36_100029,35.870237,128.647478,55
CTV0000116,지산2동1213-1_100031,35.818929,128.636443,6607
CTV0000117,시지동493_100032,35.837662,128.6951,11646
CTV0000118,시지동134-3_100033,35.843691,128.695694,18602
CTV0000119,매호동1344-21_100034,35.841473,128.704608,14849
CTV0000120,수성4가동1138-16_100035,35.866533,128.615797,8641
CTV0000121,범어4동212-11_100036,35.85793,128.640498,33577
CTV0000122,범어4동65-43_100037,35.857147,128.641045,13092
CTV0000123,황금2동863-13_100038,35.840924,128.620748,17901
CTV0000124,황금2동718-5_100039,35.850017,128.618396,17414
CTV0000125,만촌2동1030-1_100040,35.860614,128.644108,1494
CTV0000126,황금2동707-6_100041,35.850521,128.622255,9234
CTV0000127,지산1동968-9_100042,35.838147,128.628054,41641
CTV0000128,지산1동634-5_100043,35.826357,128.631738,19716
CTV0000129,지산2동1210-5_100044,35.818416,128.635268,10068
CTV0000130,범물2동1391-8_100045,35.813859,128.641221,2368
CTV0000131,범물2동1389_100046,35.814799,128.641124,6873
CTV0000132,중동18-1_100047,35.8489,128.615759,11055
CTV0000133,중동96-12_100048,35.845925,128.61372,11365
CTV0000134,상동337-10_100049,35.832226,128.613423,34925
CTV0000135,상동33-4_100050,35.834255,128.614073,20140
CTV0000136,두산동185-2_100051,35.83197,128.620695,33920
CTV0000137,수성4가동1132-12_100059,35.866428,128.617075,6746
CTV0000138,수성4가동1028-10_100060,35.862314,128.616958,1703
CTV0000139,수성4가동985-43_100061,35.860363,128.621364,7441
CTV0000140,범어2동128-18_100062,35.866344,128.63133,6126
CTV0000141,범어4동325-2_100063,35.850944,128.636999,38358
CTV0000142,범어2동394-18_100064,35.863136,128.63644,4739
CTV0000143,만촌1동662-16_100066,35.869503,128.642706,9252
CTV0000144,만촌3동849-17_100067,35.857172,128.647862,33274
CTV0000145,만촌2동992-52_100068,35.864482,128.647602,5243
CTV0000146,만촌2동1011-1_100069,35.861147,128.643707,6668
CTV0000147,파동146-8_100070,35.816304,128.61428,17241
CTV0000148,신매동56_100071,35.834548,128.7157,32529
CTV0000149,신매동599-7_100072,35.8313,128.703795,9640
CTV0000150,시지동508_100074,35.841346,128.699639,18380
CTV0000151,시지동502-7_100075,35.83928,128.699471,27941
CTV0000152,매호동1085-1_100076,35.841177,128.708,59777
CTV0000153,지산2동1189-6_100078,35.821411,128.627816,7508
CTV0000154,사월동325_100079,35.837948,128.718216,25750
CTV0000155,범어4동103-6_100080,35.855698,128.638941,20149
CTV0000156,범어4동70-2_2_100081,35.856646,128.639156,18732
CTV0000157,범어4동93-55_100082,35.853583,128.638648,13318
CTV0000158,황금2동890-7_100083,35.840741,128.622513,45605
CTV0000159,황금2동883-8_100084,35.841176,128.617765,13588
CTV0000160,황금2동767-1_100086,35.845976,128.617794,11447
CTV0000161,황금2동750_100088,35.847303,128.619422,13360
CTV0000162,지산1동1015-7_100090,35.834928,128.629673,37543
CTV0000163,지산1동1019-8_100091,35.83363,128.627662,12152
CTV0000164,지산1동1064-12_100092,35.831611,128.625656,9949
CTV0000165,지산1동1030-1_100093,35.831002,128.628329,16628
CTV0000166,중동108-1_100098,35.842546,128.61347,11137
CTV0000167,상동35-13_1_100100,35.832103,128.611613,20016
CTV0000168,파동68-7_100103,35.822127,128.613713,16060
CTV0000169,만촌2동1018-48_100104,35.862707,128.641501,4853
CTV0000170,범어1동374-4_100106,35.854556,128.628991,18430
CTV0000171,범어1동378-3_100107,35.855629,128.628129,7191
CTV0000172,범어1동728_100108,35.851411,128.624204,22762
CTV0000173,범어3동1460_100109,35.865388,128.619457,30589
CTV0000174,범어3동1130_100110,35.867039,128.618888,26159
CTV0000175,수성1가동482-5_100111,35.849985,128.612277,15035
CTV0000176,수성1가동641-6_100112,35.851535,128.609542,15177
CTV0000177,수성2가동208-1_100113,35.85216,128.615486,9239
CTV0000178,수성4가동1196-9_100114,35.862271,128.611415,6264
CTV0000179,범어2동222-4_100115,35.859719,128.638725,25243
CTV0000180,만촌1동664-43_100116,35.866333,128.643112,24190
CTV0000181,만촌2동982-47_100117,35.86576584,128.6464642,5513
CTV0000182,만촌2동962-9_100118,35.863674,128.643548,8598
CTV0000183,만촌2동979-21_100119,35.865621,128.648552,3815
CTV0000184,만촌2동1017-11_100120,35.862596,128.642834,2313
CTV0000185,만촌3동857-10_100121,35.854431,128.651733,43360
CTV0000186,만촌3동881-18_100122,35.848271,128.651851,10184
CTV0000187,범어2동136-2_100123,35.865725,128.633251,5816
CTV0000188,신매동568-1_100125,35.839325,128.70575,42611
CTV0000189,시지동509-1_100126,35.840915,128.697881,5078
CTV0000190,욱수동57_100127,35.823801,128.705727,8912
CTV0000191,성동306_100128,35.848864,128.720502,9439
CTV0000192,신매동568-12_100129,35.839037,128.708007,67640
CTV0000193,사월동356-3(선진자원앞지하보도서편)_100130,35.837357,128.720104,24440
CTV0000194,사월동356-3(선진자원앞지하보도동편)_100131,35.837653,128.720699,22285
CTV0000195,성동343-3_100132,35.848646,128.720921,4513
CTV0000196,범어4동271-7_100133,35.855953,128.635617,28210
CTV0000197,범어4동269-1_100134,35.855975,128.636899,4362
CTV0000198,범어4동255-10_100135,35.857084,128.634618,52118
CTV0000199,범어4동206-10_100136,35.858241,128.637734,11026
CTV0000200,황금2동798-8_남쪽_100137,35.84539,128.620644,6771
CTV0000201,황금2동836-7_100138,35.843511,128.622636,4671
CTV0000202,황금2동798-16_100139,35.845763,128.62067,22002
CTV0000203,황금2동790-6_100140,35.844971,128.621536,7339
CTV0000204,황금2동788-5_100141,35.845634,128.622294,11554
CTV0000205,지산1동646-15_100142,35.827462,128.630172,7099
CTV0000206,지산1동1279-5_100143,35.824443,128.637594,19537
CTV0000207,지산1동1138-5_100144,35.828329,128.627922,8726
CTV0000208,지산1동1001-1_100145,35.833838,128.624734,18812
CTV0000209,지산2동1251-9_100147,35.824117,128.629257,29524
CTV0000210,범물1동1265-2_100148,35.822988,128.644876,5563
CTV0000211,범물2동1341-5_100150,35.818301,128.637075,4002
CTV0000212,중동14-7_100151,35.850709,128.615007,7985
CTV0000213,중동532-309_100152,35.845388,128.608564,199
CTV0000214,상동388-5_100153,35.830704,128.611771,17236
CTV0000215,상동50-10_100154,35.836022,128.615755,16817
CTV0000216,상동7-3_100155,35.826478,128.613696,16416
CTV0000217,상동622-2_100156,35.826432,128.609444,16205
CTV0000218,파동118-3_100157,35.818978,128.615628,7241
CTV0000219,파동536-1_100158,35.80897,128.618721,29012
CTV0000220,두산동42-3_100159,35.837399,128.620066,14666
CTV0000221,황금2동802_100160,35.845526,128.619213,18501
CTV0000222,만촌1동233_100161,35.876562,128.649031,9257
CTV0000223,범어1동588-20_100162,35.857259,128.624828,15484
CTV0000224,범어1동779-13_100163,35.855081,128.623907,17016
CTV0000225,범어1동804-46_100164,35.857883,128.621307,31633
CTV0000226,범어1동881-7_100165,35.858824,128.622388,55179
CTV0000227,범어1동560-1_100166,35.858578,128.623949,82949
CTV0000228,범어1동377-59_100167,35.855675,128.627251,12272
CTV0000229,범어1동377-65_100168,35.856171,128.628524,4610
CTV0000230,범어1동373-41_100169,35.854668,128.627625,21908
CTV0000231,범어1동805-32_서쪽_100170,35.852128,128.623567,2724
CTV0000232,범어1동806-31_100171,35.851196,128.621486,21076
CTV0000233,범어1동805-13_100172,35.853351,128.621787,15193
CTV0000234,수성4가동985-98_100173,35.860339,128.622236,25849
CTV0000235,수성4가동1000-7_100174,35.8607,128.619967,13053
CTV0000236,수성4가동1023-43_100175,35.861079,128.617129,11915
CTV0000237,범어1동787-6_동쪽_100176,35.85615,128.62446,14722
CTV0000238,수성2가동17-1_100177,35.85814788,128.6173291,12742
CTV0000239,수성2가동202-13_100178,35.852266,128.614238,8607
CTV0000240,수성2가동156-1_100179,35.855074,128.615754,9535
CTV0000241,수성2가동246-1_100180,35.855617,128.614488,9006
CTV0000242,수성4가동1085-21_100181,35.860375,128.616383,21799
CTV0000243,수성4가동1028-27_100182,35.861362,128.61663,14006
CTV0000244,범어1동899-22_100184,35.853377,128.627634,24652
CTV0000245,범어1동678-7_100185,35.849466,128.626914,5345
CTV0000246,황금2동656-3_100187,35.848555,128.626069,6823
CTV0000247,범어1동678-3_100188,35.848769,128.628283,19432
CTV0000248,범어2동230-2_100249,35.860708,128.637705,17339
CTV0000249,범어2동403-1_100250,35.86329,128.638016,6835
CTV0000250,범어4동64-58_100251,35.855747,128.642011,8513
CTV0000251,범어2동418-15_서쪽_100252,35.864953,128.636913,2719
CTV0000252,만촌3동1070-1_100253,35.85459,128.646003,14485
CTV0000253,수성1가동649-17_100254,35.849934,128.609011,11397
CTV0000254,수성1가동671-42_100255,35.858265,128.611137,30600
CTV0000255,황금2동808-24_100256,35.844796,128.618324,3615
CTV0000256,범물1동262_100257,35.81490808,128.6503736,12261
CTV0000257,범물2동475-1_100258,35.816117,128.644335,13913
CTV0000258,수성2가동117_100259,35.85103,128.615438,8179
CTV0000259,만촌2동1022-6_동쪽_100260,35.86187,128.640905,3591
CTV0000260,범어4동88-38_100268,35.854185,128.64257,2240
CTV0000261,만촌1동1328-8_100269,35.872337,128.638618,12283
CTV0000262,만촌2동1009-15_100270,35.863274,128.642791,6430
CTV0000263,수성3가동232-6_100271,35.851969,128.618521,8766
CTV0000264,중동537-8_100272,35.84803,128.60959,9166
CTV0000265,두산동180-10_100273,35.830653,128.620502,16290
CTV0000266,두산동117-1_100274,35.837625,128.622426,26465
CTV0000267,범물1동1285_100275,35.818726,128.646352,49932
CTV0000268,시지동381-6_100276,35.841903,128.695533,61705
CTV0000269,고모동376_100277,35.857239,128.677158,1981
CTV0000270,만촌1동658-41_100328,35.869452,128.642349,1250
CTV0000271,만촌1동662-1_100329,35.868365,128.642392,2737
CTV0000272,만촌1동664-17_100330,35.867708,128.642804,3238
CTV0000273,만촌1동665-20_100331,35.868356,128.643217,2145
CTV0000274,만촌1동665-3_100332,35.866695,128.643432,2638
CTV0000275,만촌1동666-4_100333,35.868794,128.643347,6888
CTV0000276,만촌1동667-10_100334,35.867289,128.64347,3118
CTV0000277,만촌1동668-38_100335,35.867178,128.644002,1746
CTV0000278,만촌1동668-13_100336,35.867812,128.644156,3334
CTV0000279,만촌1동663-6_100337,35.86876,128.64274,3728
CTV0000280,만촌2동935-19_100338,35.864192,128.639392,9671
CTV0000281,만촌2동960-33_100339,35.863291,128.64015,1548
CTV0000282,만촌2동952-6_100340,35.864608,128.64088,4257
CTV0000283,만촌2동959-5_100341,35.864156,128.640794,8311
CTV0000284,만촌2동960-3_100342,35.863833,128.64157,2682
CTV0000285,만촌2동958-3_100343,35.865133,128.641696,2300
CTV0000286,만촌2동960-57_100344,35.863622,128.642641,7408
CTV0000287,만촌2동963-3_100345,35.865624,128.642295,3997
CTV0000288,만촌2동961-21_100346,35.865107,128.643006,7263
CTV0000289,만촌2동961-2_100347,35.864418,128.642695,2891
CTV0000290,범어2동416-5_100350,35.863803,128.63859,6697
CTV0000291,범어3동40-15_100351,35.860469,128.624757,25139
CTV0000292,범어3동1991_100352,35.867096,128.622082,10688
CTV0000293,만촌1동608-14_100353,35.875292,128.644342,4774
CTV0000294,만촌1동413-2_100354,35.869374,128.633002,26591
CTV0000295,만촌2동1016-87_100355,35.861554,128.641912,4217
CTV0000296,만촌3동1050-2_100356,35.857887,128.645788,27650
CTV0000297,만촌3동792_100357,35.853057,128.658176,20222
CTV0000298,수성1가동624-1_100358,35.854116,128.612085,18992
CTV0000299,수성3가동211-1_100359,35.852887,128.620093,6583
CTV0000300,황금2동761-7_100360,35.847071,128.621962,20065
CTV0000301,상동14-3_100361,35.839165,128.615725,16879
CTV0000302,지산1동396-2_100362,35.824474,128.638619,9085
CTV0000303,연호동259-1_100363,35.841429,128.67252,3274
CTV0000304,대흥동433-4_100364,35.830809,128.682984,2421
CTV0000305,고모동56_100365,35.867154,128.67019,2282
CTV0000306,지산1동489_100366,35.823564,128.638581,18780
CTV0000307,이천동326-2_100367,35.839499,128.658169,2257
CTV0000308,대흥동149_100368,35.832638,128.684622,3146
CTV0000309,가천동458-1_100369,35.852701,128.685475,3862
CTV0000310,매호동721-1_100370,35.846077,128.705699,23437
CTV0000311,시지동120-1_100371,35.844178,128.69652,14013
CTV0000312,황금2동796-13_100372,35.844132,128.622169,29747
