rank,cctvUid,cctvNm,cctvCount,lat,lon
1,CTV0001274,신매동570(천사유치원)_100414,120425,35.838733,128.706859
2,CTV0001504,두산동876-8(수성못수성호텔건너)_300079,111318,35.825875,128.620961
3,CTV0001492,두산동499-4(수성못관광안내소)_300077,101892,35.828433,128.621417
4,CTV0001495,두산동499-4(수성못관광안내소)_300076,93506,35.828433,128.621417
5,CTV0001041,신매동567-15_101391,92957,35.839947,128.707228
6,CTV0001506,두산동926-1(수성못인부대기실)_300081,90481,35.826442,128.615144
7,CTV0001510,두산동926-6(수성못10)_300106,90112,35.82629,128.613882
8,CTV0001507,두산동926-1(수성못인부대기실)_300080,89987,35.826442,128.615144
9,CTV0001505,두산동876-8(수성못수성호텔건너)_300078,87238,35.825875,128.620961
10,CTV0000756,상동715_101043,87196,35.826478,128.613696
11,CTV0001509,두산동926-6(수성못09)_300105,85097,35.82629,128.613882
12,CTV0000227,범어1동560-1_100166,82949,35.858578,128.623949
13,CTV0000459,지산1동1288-16_100701,75809,35.822425,128.638871
14,CTV0001750,급식실(삼육14),74797,35.839911,128.610579
15,CTV0001143,상동667-53(상동교주변)_101500,70604,35.834256,128.606224
16,CTV0002417,고산05(고산),70325,35.843638,128.693003
17,CTV0002353,신매동572-7_101613,67772,35.837777,128.709485
18,CTV0000192,신매동568-12_100129,67640,35.839037,128.708007
19,CTV0002315,범어4동257-1_101574,66884,35.856863,128.634008
20,CTV0001543,범어1동356(구민운동장정문)_300002,66563,35.85025529,128.6292314
21,CTV0002717,수성2가동243_101625,66457,35.856189,128.613861
22,CTV0000735,범어3동1444_101022,64339,35.865486,128.618373
23,CTV0001304,만촌3동852-23_100498,63974,35.855605,128.649727
24,CTV0001511,두산동926-6(수성못11)_300107,62837,35.82629,128.613882
25,CTV0001101,사월동411-2_101457,62050,35.836808,128.71703
26,CTV0001175,만촌3동878-1_100196,61877,35.850476,128.652415
27,CTV0000268,시지동381-6_100276,61705,35.841903,128.695533
28,CTV0000152,매호동1085-1_100076,59777,35.841177,128.708
29,CTV0000979,만촌3동864_101329,59415,35.853119,128.651466
30,CTV0001026,지산1동1288-12_101376,58350,35.822109,128.639436
31,CTV0001531,범어1동356(구민운동장본부석)_300003,55983,35.84985794,128.6300492
32,CTV0000226,범어1동881-7_100165,55179,35.858824,128.622388
33,CTV0001142,상동199_101499,54948,35.836365,128.606454
34,CTV0001501,두산동653-1(수성못01)_300097,52995,35.827081,128.621993
