광고 시청자 수,전환가치(₩),예상 전환수,총 수익(₩),광고비(₩),순이익(₩),결과
100000,1000,3800,3800000,342500,3457500,수익 O
100000,3000,3800,11400000,342500,11057500,수익 O
100000,5000,3800,19000000,342500,18657500,수익 O
100000,7000,3800,26600000,342500,26257500,수익 O
100000,10000,3800,38000000,342500,37657500,수익 O
1000000,1000,38000,38000000,3425000,34575000,수익 O
1000000,3000,38000,114000000,3425000,110575000,수익 O
1000000,5000,38000,190000000,3425000,186575000,수익 O
1000000,7000,38000,266000000,3425000,262575000,수익 O
1000000,10000,38000,380000000,3425000,376575000,수익 O
10000000,1000,380000,380000000,34250000,345750000,수익 O
10000000,3000,380000,1140000000,34250000,1105750000,수익 O
10000000,5000,380000,1900000000,34250000,1865750000,수익 O
10000000,7000,380000,2660000000,34250000,2625750000,수익 O
10000000,10000,380000,3800000000,34250000,3765750000,수익 O
