,,선호1,선호2,선호3,선호4,선호5
여성,10대,치킨전문점 광고 (3.28%),햄버거/샌드위치 광고 (3.19%),휴대폰 단말기 광고 (3.18%),피자전문점 광고 (3.16%),라면 광고 (2.88%)
여성,20대,치킨전문점 광고 (2.65%),휴대폰 단말기 광고 (2.57%),피자전문점 광고 (2.54%),음식배달/식재료 광고 (2.43%),해외여행 광고 (2.41%)
여성,30대,자동차 광고 (2.19%),휴대폰 단말기 광고 (2.14%),맥주 광고 (2.04%),치킨전문점 광고 (2.04%),해외여행 광고 (2.03%)
여성,40대,자동차 광고 (2.29%),해외여행 광고 (2.14%),치킨전문점 광고 (2.00%),맥주 광고 (1.96%),휴대폰 단말기 광고 (1.93%)
여성,50대 이상,건강보조식품 광고 (2.30%),종합영양제 광고 (2.26%),자동차 광고 (1.98%),TV 광고 (1.97%),잇몸 관리용품 광고 (1.95%)
남성,여,여성용 화장품 광고 (2.21%),치킨전문점 광고 (2.02%),해외여행 광고 (2.00%),냉장고 광고 (1.95%),라면 광고 (1.94%)
남성,10대,치킨전문점 광고 (3.28%),햄버거/샌드위치 광고 (3.19%),휴대폰 단말기 광고 (3.18%),피자전문점 광고 (3.16%),라면 광고 (2.88%)
남성,20대,치킨전문점 광고 (2.65%),휴대폰 단말기 광고 (2.57%),피자전문점 광고 (2.54%),음식배달/식재료 광고 (2.43%),해외여행 광고 (2.41%)
남성,30대,자동차 광고 (2.19%),휴대폰 단말기 광고 (2.14%),맥주 광고 (2.04%),치킨전문점 광고 (2.04%),해외여행 광고 (2.03%)
남성,40대,자동차 광고 (2.29%),해외여행 광고 (2.14%),치킨전문점 광고 (2.00%),맥주 광고 (1.96%),휴대폰 단말기 광고 (1.93%)
