지점명,도로명주소
강남세곡DT,서울특별시 강남구 헌릉로 727 (세곡동)
케이스퀘어강남,서울특별시 강남구 강남대로94길 10 (역삼동)
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동)
강남청담빌딩,서울특별시 강남구 선릉로 704 (청담동)
압구정현대아파트,서울특별시 강남구 논현로175길 38 (신사동)
청담역,서울특별시 강남구 삼성로 709 (청담동)
압구정역사3번출구,서울특별시 강남구 논현로 854 (신사동)
리저브도산,서울특별시 강남구 선릉로155길 23 (신사동)
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동)
강남논현,서울특별시 강남구 강남대로 512 (논현동)
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동)
삼성역,서울특별시 강남구 테헤란로 620 (대치동)
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동)
언주역,서울특별시 강남구 봉은사로 222 (역삼동)
대치삼성,서울특별시 강남구 영동대로 237 (대치동)
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동)
도산사거리,서울특별시 강남구 언주로 727 (논현동)
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동)
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동)
수서역사거리,서울특별시 강남구 광평로 280 (수서동)
개포동,서울특별시 강남구 선릉로 34 (개포동)
대치한티,서울특별시 강남구 선릉로 324 (대치동)
매봉역,서울특별시 강남구 남부순환로 2736 (도곡동)
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)"
논현힐탑,서울특별시 강남구 논현로 648 (논현동)
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)"
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)"
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동)
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)"
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)"
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)"
신압구정,서울특별시 강남구 언주로174길 29 (신사동)
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동)
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동)
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)"
압구정미소,서울특별시 강남구 논현로 841 (신사동)
GS타워,서울특별시 강남구 논현로 508 (역삼동)
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동)
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩
학여울역,서울특별시 강남구 영동대로 215 (대치동)
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동)
포이,서울특별시 강남구 논현로 88 (개포동)
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)"
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)"
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동)
압구정로,서울특별시 강남구 압구정로42길 32 (신사동)
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)"
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)"
신세계푸드마켓도곡,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)"
대치,서울특별시 강남구 도곡로 511 (대치동)
학동역,서울특별시 강남구 논현로 704 (논현동)
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층"
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동)
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)"
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)"
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)"
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)"
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)"
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동)
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)"
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회
도곡역,서울특별시 강남구 남부순환로 2909 (대치동)
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)"
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩
대치사거리,서울특별시 강남구 삼성로 402 (대치동)
학동사거리,서울특별시 강남구 도산대로 328 (논현동)
강남우성,서울특별시 강남구 강남대로 328 (역삼동)
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동)
신사가로수,서울특별시 강남구 가로수길 59 
압구정,서울특별시 강남구 압구정로30길 17 (신사동)
청담영동대로,서울특별시 강남구 영동대로 720 (청담동)
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동)
강남R,서울특별시 강남구 강남대로 390 (역삼동)
도곡공원,서울특별시 강남구 도곡로 205 (역삼동)
강남구청정문,서울특별시 강남구 학동로 419 (청담동)
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동)
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동)
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동)
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동)
수서역R,서울특별시 강남구 광평로 281 (수서동)
압구정R,서울특별시 강남구 언주로 861 (신사동)
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동)
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동)
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동)
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)
대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동)
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)
논현역사거리,서울특별시 강남구 강남대로 538 (논현동)
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동)
