지점명,도로명주소
마포구청역,서울특별시 마포구 월드컵로 200 (성산동) 1층 일부
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동)
홍대동교,서울특별시 마포구 양화로 192 (동교동)
합정푸르지오,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)"
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동)
디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동)
아현역대로,서울특별시 마포구 신촌로 262 (아현동)
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트
망원역,서울특별시 마포구 월드컵로 74 (서교동)
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동)
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)"
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)"
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)"
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)"
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)"
상암MBC,서울특별시 마포구 성암로 267 (상암동)
서강대,서울특별시 마포구 백범로 23 (신수동)
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩
상수역,서울특별시 마포구 독막로 88 (상수동)
상암디지털큐브,서울특별시 마포구 상암산로 34
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동)
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동)
서교동사거리,서울특별시 마포구 양화로 105 (서교동)
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동)
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2"
서강광흥창역,서울특별시 마포구 서강로 69 (창전동)
마포염리,서울특별시 마포구 독막로 311 (염리동)
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동)
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
공덕,서울특별시 마포구 마포대로 130 (공덕동)
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동)
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동)
마포용강동,서울특별시 마포구 토정로 295 (용강동)
상암YTN,서울특별시 마포구 상암산로 76 (상암동)
서강대프라자,서울특별시 마포구 백범로 35 (신수동)
