지역코드,병원명,주소,전화번호,요양기관번호
110001,삼성서울병원,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz
110001,연세대학교의과대학 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz
110001,강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz
110001,차의과학대학교 강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",02-3468-3000,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz
110001,비에비스나무병원,"서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,12층 (논현동)",02-519-8800,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz
110001,새로운병원,"서울특별시 강남구 학동로 121, 새로운병원빌딩 지하1층일부~7층 (논현동)",1577-0212,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjEyMjIjNDEjJDEjJDgjJDgz
110001,윤호병원,"서울특별시 강남구 압구정로 304, 윤호병원 (지하1층,지하2층,1층~4층,7층)  (신사동)",02-512-0500,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz
110001,튼튼병원,"서울특별시 강남구 영동대로 713, B1~6층, 7층일부,8층 (청담동)",02-1588-7562,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ2MiQzNjEwMDIjODEjJDEjJDIjJDgz
110001,호산여성병원,"서울특별시 강남구 언주로 871, 호산병원 (신사동)",02-546-3493,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz
110001,노블케어요양병원,"서울특별시 강남구 언주로 858, 1관, 2관동 (신사동)",02-515-0007,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
110001,메디움강남요양병원,"서울특별시 강남구 강남대로 276, (도곡동)",02-573-5737,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNjEjJDEjJDgjJDgz
110001,(의)미래의료재단리드림의원,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",02-540-0001,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz
110001,(의)성광의료재단 차움의원,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",02-3015-5000,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz
110001,(의)성광의료재단차움건진의원,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",02-1800-7750,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ4MiQyNjEwMDIjNTEjJDEjJDYjJDgz
110001,365열린가정의학과의원,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",02-565-7119,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz
110001,강남리즈산부인과의원,"서울특별시 강남구 강남대로 430, 8층 (역삼동)",02-558-5538,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ4OSQzNjE4MzIjODEjJDEjJDYjJDgz
110001,강남미즈힐산부인과의원,"서울특별시 강남구 강남대로 242, 크리스탈빌딩 3층 (도곡동)",577-5488,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQxMyQyNjE4MzIjNTEjJDEjJDYjJDgz
110001,강남바른내과의원,"서울특별시 강남구 선릉로 324, SH타워 4층 (대치동)",02-6232-7500,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
110001,강남스마일의원,"서울특별시 강남구 선릉로 309, SJ빌딩 4층 (역삼동)",02-501-7533,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDAjJDgz
110001,강남포도여성의원,"서울특별시 강남구 강남대로 428, 만이빌딩 2층 (역삼동)",02-3442-4454,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz
110001,강남현비뇨의학과의원,"서울특별시 강남구 도곡로63길 16, 3층 (대치동)",02-555-3731,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz
110001,강동우성의원,"서울특별시 강남구 압구정로 162, 베네하임시티 2층 205호,206호호 (신사동)",548-7900,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz
110001,개포삼성앤서울내과의원,"서울특별시 강남구 삼성로 14, 3층 310,311,313호 (개포동, 개포자이 프레지던스)",02-451-1105,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQyIyQ3IyQwMCQzNjE4MzIjNDEjJDEjJDgjJDgz
110001,골든발란스의원,"서울특별시 강남구 강남대로 468, 충림빌딩 7,12층 (역삼동)",02-516-7148,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQyIyQzIyQwMCQyNjEwMDIjNjEjJDEjJDQjJDgz
110001,구름의자의원,"서울특별시 강남구 논현로 841, (신사동, 제이비 미소빌딩, 206호 일부)",02-1544-6378,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz
110001,굿모닝의원,"서울특별시 강남구 삼성로 212, (대치동, 은마상가 A블럭 212-1)",02-561-7533,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjNTEjJDEjJDYjJDgz
110001,그녀의정원여성의원,"서울특별시 강남구 언주로 303, 지하2층 (역삼동)",02-3453-2855,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz
110001,그대안에산부인과의원,"서울특별시 강남구 테헤란로87길 13, 5층 2호 (삼성동, 서영빌딩)",02-565-0502,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNDEjJDEjJDQjJDgz
110001,그리다성형외과의원,"서울특별시 강남구 강남대로 408, YBM강남센터 1201호 (역삼동)",02-558-0090,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQyIyQxIyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz
110001,김숙경산부인과의원,"서울특별시 강남구 선릉로 312, 3층 (대치동)",02-567-7594,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE4MzIjNzEjJDEjJDgjJDgz
110001,나를위한산부인과의원,"서울특별시 강남구 강남대로 364, 미왕빌딩 9층 (역삼동)",02-539-5004,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQxMyQyNjE4MzIjNTEjJDEjJDIjJDgz
110001,네오유여성비뇨기과의원,"서울특별시 강남구 강남대로 446, 한웰빌딩 5층일부 (역삼동)",02-555-2125,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz
110001,노원재산부인과의원,"서울특별시 강남구 강남대로 238, 스카이쏠라빌딩 7층 (도곡동)",02-886-9955,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz
110001,노인화산부인과의원,"서울특별시 강남구 테헤란로 339, 6층 (역삼동)",02-569-1770,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNjEjJDEjJDgjJDgz
110001,논현엘여성의원,"서울특별시 강남구 학동로20길 55, 해림빌딩 3층 (논현동)",02-549-9981,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
110001,누의원,"서울특별시 강남구 도산대로45길 10-7, 신사동  K빌딩 2,3층 (신사동)",02-6951-0304,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNzEjJDEjJDgjJDgz
110001,다움산부인과의원,"서울특별시 강남구 강남대로 390, 미진프라자 1301호 (역삼동)",02-555-5799,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz
110001,닥터송포유의원,"서울특별시 강남구 봉은사로 232, 3,4,5,6층 (역삼동)",02-517-3309,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz
110001,닥터스키니의원,"서울특별시 강남구 강남대로 416, 창림빌딩 3층 (역삼동)",02-561-7575,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDgjJDgz
110001,대암의원,"서울특별시 강남구 논현로 610, 6층 (논현동)",02-548-0100,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ4MiQyNjE4MzIjNjEjJDEjJDQjJDgz
110001,대치성모여성의원,"서울특별시 강남구 선릉로64길 9, 대성빌딩 3층 (대치동)",02-557-0810,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
110001,더연세미즈산부인과의원,"서울특별시 강남구 선릉로 301, 6~7층 (역삼동)",02-565-7575,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz
110001,더행복한흉부외과의원,"서울특별시 강남구 선릉로112길 85, 1층 (삼성동)",02-6954-0202,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
110001,도곡함춘산부인과의원,"서울특별시 강남구 논현로 142, 동현빌딩 2~6층 (도곡동)",02-1661-9722,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz
110001,두번째봄여성의원,"서울특별시 강남구 압구정로36길 8, 2층 (신사동)",02-6369-0771,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQyIyQzIyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz
110001,디알성형외과의원,"서울특별시 강남구 학동로6길 42, 3~4층 (논현동)",02-543-0015,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNTEjJDEjJDIjJDgz
